2024-11-30,270.24,1
2024-11-30,275.62,0
2024-12-01,282.38,0
2024-12-01,273.03000000000003,1
2024-12-02,271.71,0
2024-12-02,266.90000000000003,1
2024-12-03,280.62,"['Karl-Anthony Towns', 'Scottie Barnes', 'RJ Barrett', 'Isaiah Hartenstein', 'Josh Hart', 'Scotty Pippen Jr.', 'Luke Kennard', 'Micah Potter']",0
2024-12-03,274.17,"['Giannis Antetokounmpo', 'Scottie Barnes', 'Isaiah Hartenstein', 'Jordan Poole', 'Ty Jerome', 'Scotty Pippen Jr.', 'Chris Boucher', 'Oscar Tshiebwe']",1
2024-12-04,270.09000000000003,"['Trae Young', 'Jalen Johnson', 'Ivica Zubac', 'Derrick White', 'Payton Pritchard', ""De'Andre Hunter"", 'Naz Reid', 'Moritz Wagner']",0
2024-12-04,263.14,"['Giannis Antetokounmpo', 'Kristaps Porzingis', 'Derrick White', 'Payton Pritchard', ""D'Angelo Russell"", ""De'Andre Hunter"", 'Naz Reid', 'Moritz Wagner']",1
2024-12-05,278.32000000000005,"['Nikola Jokic', 'Karl-Anthony Towns', 'Josh Hart', 'Santi Aldama', 'Devin Vassell', 'Miles McBride', 'Jake LaRavia', 'Davion Mitchell']",0
2024-12-05,274.55000000000007,"['Nikola Jokic', 'Karl-Anthony Towns', 'Josh Giddey', 'Santi Aldama', 'Devin Vassell', 'Ty Jerome', 'Jake LaRavia', 'Chris Boucher']",1
2024-12-06,265.8399999999999,"['Jayson Tatum', 'Jalen Johnson', 'Derrick White', 'Jeremy Sochan', ""De'Andre Hunter"", 'Scoot Henderson', 'Onyeka Okongwu', 'Anthony Black']",0
2024-12-06,260.26,"['Giannis Antetokounmpo', 'Derrick White', 'Chris Paul', 'Jeremy Sochan', ""De'Andre Hunter"", 'T.J. McConnell', 'Moritz Wagner', 'Onyeka Okongwu']",1
2024-12-07,283.81,"['Nikola Jokic', 'Karl-Anthony Towns', 'Tyler Herro', 'Josh Hart', 'Scotty Pippen Jr.', 'Jake LaRavia', 'Davion Mitchell', 'Nikola Jovic']",0
2024-12-07,278.09,"['Nikola Jokic', 'Isaiah Hartenstein', 'Jaren Jackson Jr.', 'Russell Westbrook', 'Santi Aldama', 'Marcus Smart', 'Scotty Pippen Jr.', 'Jake LaRavia']",1
2024-12-08,269.78000000000003,"['LeBron James', ""De'Aaron Fox"", 'Jaren Jackson Jr.', 'Norman Powell', 'Santi Aldama', 'Devin Vassell', 'Scotty Pippen Jr.', 'Micah Potter']",0
2024-12-08,265.92,"['Victor Wembanyama', 'Ja Morant', 'Jaren Jackson Jr.', 'Norman Powell', 'Jonas Valanciunas', 'Devin Vassell', 'Scotty Pippen Jr.', 'Micah Potter']",1
2024-12-10,263.12,"['Giannis Antetokounmpo', 'Shai Gilgeous-Alexander', 'Isaiah Hartenstein', 'Bobby Portis', 'Daniel Gafford', 'Luguentz Dort', 'Aaron Wiggins', 'Isaiah Joe']",0
2024-12-10,263.12,"['Giannis Antetokounmpo', 'Shai Gilgeous-Alexander', 'Isaiah Hartenstein', 'Bobby Portis', 'Daniel Gafford', 'Luguentz Dort', 'Aaron Wiggins', 'Isaiah Joe']",1
2024-12-11,263.31,"['Karl-Anthony Towns', 'Jalen Brunson', 'Jalen Johnson', 'OG Anunoby', 'Tari Eason', 'Onyeka Okongwu', 'Miles McBride', 'Cameron Payne']",0
2024-12-11,254.7,"['Karl-Anthony Towns', 'Stephen Curry', 'Jalen Johnson', 'Clint Capela', 'Tari Eason', 'Buddy Hield', 'Precious Achiuwa', 'Cameron Payne']",1
2024-12-12,264.63,"['Cade Cunningham', 'Tyler Herro', 'Kristaps Porzingis', 'Derrick White', 'Tobias Harris', 'Jrue Holiday', 'Brandon Boston Jr.', 'Nikola Jovic']",0
2024-12-12,262.47,"['Cade Cunningham', 'Jaylen Brown', 'Tyler Herro', 'Kristaps Porzingis', 'Derrick White', 'Chris Boucher', 'Kevin Love', 'Nikola Jovic']",1
