NAME,MPG
Isaiah Jackson,16.8
JT Thor,7.2
Quenton Jackson,17.1
Cason Wallace,26.2
Kevin Love,12.5
Johnny Juzang,16.8
Davion Mitchell,27.6
Brandon Clarke,18.0
KJ Martin,18.9
Malaki Branham,12.9
Luke Kennard,19.7
Elfrid Payton,20.5
Keon Ellis,20.7
Kris Dunn,22.6
Jonathan Isaac,16.9
Javonte Green,24.0
Jaden Hardy,14.6
Jaxson Hayes,17.4
Simone Fontecchio,18.0
Vasilije Micic,19.4
Terance Mann,21.0
Isaiah Stewart,21.7
Marcus Sasser,13.2
Neemias Queta,17.9
Bones Hyland,8.4
Zach Collins,14.6
James Wiseman,4.6
Isaac Okoro,20.9
Dariq Whitehead,8.7
Pelle Larsson,16.3
Ryan Dunn,17.8
Jamison Battle,14.0
Svi Mykhailiuk,14.1
Ausar Thompson,15.3
Shake Milton,16.3
Lindy Waters III,17.3
Cam Whitmore,9.9
Max Christie,18.9
David Roddy,15.4
Ben Sheppard,20.9
Donovan Clingan,17.0
Keon Johnson,16.8
Ajay Mitchell,16.1
Kenrich Williams,13.1
Ronald Holland II,15.8
Ja'Kobe Walter,17.6
Ben Simmons,24.0
Jonathan Mogbo,15.9
Day'Ron Sharpe,16.4
Trey Lyles,19.6
Kobe Bufkin,13.3
Kyle Lowry,22.6
Alec Burks,15.1
Kevon Looney,16.4
Jarace Walker,18.1
Antonio Reeves,10.8
Matas Buzelis,12.2
Vince Williams Jr.,14.9
Alex Caruso,19.5
Torrey Craig,11.1
Kyle Anderson,15.0
Lonzo Ball,16.3
Monte Morris,11.3
Dean Wade,21.5
Jamal Cain,14.7
Sandro Mamukelashvili,9.4
Tidjane Salaun,18.8
Alondes Williams,3.7
Micah Potter,21.7
Mark Williams,9.7
Cam Christie,17.8
Seth Curry,12.8
Pat Connaughton,17.0
Cole Anthony,10.1
Paul Reed,9.8
Mo Bamba,13.6
Eric Gordon,16.5
Kris Murray,13.2
KJ Simpson,15.1
Jared Butler,9.1
Keaton Wallace,16.2
Wendell Moore Jr.,14.9
Taylor Hendricks,24.8
Mason Plumlee,17.4
Oso Ighodaro,17.2
Isaac Jones,9.8
Gary Payton II,12.7
Luke Kornet,17.5
Drew Eubanks,13.8
Julian Phillips,14.8
Jamal Shead,14.1
Dalen Terry,13.9
Ricky Council IV,11.8
Reggie Jackson,11.9
Thomas Bryant,12.0
Gary Harris,16.6
Marvin Bagley III,6.7
Tre Jones,17.5
Reed Sheppard,11.7
Josh Richardson,18.7
Richaun Holmes,6.8
Jae Crowder,16.8
Aaron Holiday,8.8
Jock Landale,11.1
Gabe Vincent,18.7
Blake Wesley,11.2
Damion Lee,9.4
Jett Howard,10.5
Rob Dillingham,8.4
Nicolas Batum,17.6
Bruno Fernando,9.4
Luka Garza,4.7
Isaiah Collier,17.5
Patty Mills,15.3
Dru Smith,12.2
Rayan Rupert,11.0
Daniel Theis,14.3
Ousmane Dieng,11.6
Johnny Furphy,10.0
Bol Bol,5.4
Dario Saric,13.6
Charles Bassey,10.0
Andre Jackson Jr.,18.0
Tristan Thompson,7.2
Cam Reddish,19.6
Nick Smith Jr.,9.0
Moses Brown,5.1
Moussa Diabate,20.0
Cody Williams,18.7
Vit Krejci,11.2
Justin Champagnie,11.2
Collin Gillespie,3.5
David Duke Jr.,8.2
Orlando Robinson,7.7
Taze Moore,10.0
Oscar Tshiebwe,15.7
Jabari Walker,10.7
Tyler Kolek,7.0
Kobe Brown,6.7
Ryan Rollins,6.6
Craig Porter,9.4
Taj Gibson,11.4
Doug McDermott,8.1
Delon Wright,16.0
TyTy Washington Jr.,8.9
Trey Jemison,11.2
DeAndre Jordan,9.8
Steven Adams,11.3
Johnny Davis,7.3
Dillon Jones,8.8
Drew Peterson,10.3
Jaylon Tyson,8.5
E.J. Liddell,5.1
Chris Duarte,4.1
Hunter Tyson,9.2
Kel'el Ware,6.9
Josh Minott,7.7
Jeff Green,5.7
Vlatko Cancar,8.6
John Konchar,12.0
Anthony Gill,6.1
Patrick Baldwin Jr.,5.1
Lester Quinones,4.3
Nate Williams,3.3
Kai Jones,8.5
Christian Koloko,9.4
Jordan McLaughlin,7.9
Duop Reath,6.4
Jae'Sean Tate,4.5
Jeff Dowtin Jr.,10.0
Tyler Smith,3.5
Alex Reese,1.9
Ulrich Chomche,4.5
Adama Sanogo,4.6
Jalen Hood-Schifino,7.1
Justin Edwards,4.5
Precious Achiuwa,12.3
Dwight Powell,8.8
Jericho Sims,13.2
Maxi Kleber,17.0
Pat Spencer,5.8
Pacome Dadiet,7.0
Markieff Morris,6.0
Jevon Carter,4.8
MarJon Beauchamp,3.2
Jazian Gortman,2.6
Luke Travers,8.0
Alex Len,7.1
Trevelin Queen,2.5
Adem Bona,6.5
Olivier-Maxence Prosper,5.7
Jaylen Martin,1.6
Adam Flagler,3.6
AJ Johnson,2.1
Enrique Freeman,7.6
Matt Ryan,5.2
Armel Traore,7.8
James Johnson,3.5
Jordan Walsh,8.8
Terrence Shannon Jr.,4.3
Jack McVeigh,3.6
Cory Joseph,3.5
Zeke Nnaji,5.1
Xavier Tillman,9.4
Brandon Williams,4.3
Ariel Hukporti,8.2
Colby Jones,4.1
