Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (36761890),Giannis Antetokounmpo,36761890,PF/C/F/UTIL,12300,CHA@MIL 11/23/2024 08:00PM ET,MIL,61.17
C,Nikola Jokic (36761894),Nikola Jokic,36761894,C/UTIL,12200,DEN@LAL 11/23/2024 10:30PM ET,DEN,72.09
C,Anthony Davis (36761896),Anthony Davis,36761896,C/UTIL,11100,DEN@LAL 11/23/2024 10:30PM ET,LAL,56.02
C,Victor Wembanyama (36761898),Victor Wembanyama,36761898,C/UTIL,11000,GSW@SAS 11/23/2024 08:30PM ET,SAS,50.31
PF/C,LeBron James (36761900),LeBron James,36761900,PF/C/F/UTIL,10200,DEN@LAL 11/23/2024 10:30PM ET,LAL,51.67
PG,Cade Cunningham (36761904),Cade Cunningham,36761904,PG/G/UTIL,9800,DET@ORL 11/23/2024 07:00PM ET,DET,49.66
PG,LaMelo Ball (36761907),LaMelo Ball,36761907,PG/G/UTIL,9600,CHA@MIL 11/23/2024 08:00PM ET,CHA,48.18
C,Paolo Banchero (36761910),Paolo Banchero,36761910,C/UTIL,9400,DET@ORL 11/23/2024 07:00PM ET,ORL,51.8
PG,Stephen Curry (36761916),Stephen Curry,36761916,PG/G/UTIL,9300,GSW@SAS 11/23/2024 08:30PM ET,GSW,44.38
SF/PF,Franz Wagner (36761912),Franz Wagner,36761912,SF/PF/F/UTIL,9300,DET@ORL 11/23/2024 07:00PM ET,ORL,42.37
PG,Ja Morant (36761919),Ja Morant,36761919,PG/G/UTIL,9200,MEM@CHI 11/23/2024 08:00PM ET,MEM,42
PG,Damian Lillard (36761922),Damian Lillard,36761922,PG/G/UTIL,9100,CHA@MIL 11/23/2024 08:00PM ET,MIL,44.31
C,Alperen Sengun (36761925),Alperen Sengun,36761925,C/UTIL,8900,POR@HOU 11/23/2024 08:00PM ET,HOU,43.78
PG/SG,Jamal Murray (36761927),Jamal Murray,36761927,PG/SG/G/UTIL,8900,DEN@LAL 11/23/2024 10:30PM ET,DEN,36.36
C,Nikola Vucevic (36761931),Nikola Vucevic,36761931,C/UTIL,8300,MEM@CHI 11/23/2024 08:00PM ET,CHI,41.98
SG/SF,Zach LaVine (36761933),Zach LaVine,36761933,SG/SF/F/G/UTIL,7900,MEM@CHI 11/23/2024 08:00PM ET,CHI,37.48
PF,Jaren Jackson Jr. (36761938),Jaren Jackson Jr.,36761938,PF/F/UTIL,7800,MEM@CHI 11/23/2024 08:00PM ET,MEM,37.61
SF/PF,Michael Porter Jr. (36761941),Michael Porter Jr.,36761941,SF/PF/F/UTIL,7400,DEN@LAL 11/23/2024 10:30PM ET,DEN,34.59
PG,Fred VanVleet (36761945),Fred VanVleet,36761945,PG/G/UTIL,7300,POR@HOU 11/23/2024 08:00PM ET,HOU,34.81
PG/SG,Coby White (36761948),Coby White,36761948,PG/SG/G/UTIL,7200,MEM@CHI 11/23/2024 08:00PM ET,CHI,34.53
SG/SF,Brandon Miller (36761952),Brandon Miller,36761952,SG/SF/F/G/UTIL,7200,CHA@MIL 11/23/2024 08:00PM ET,CHA,34.96
SG/SF,Desmond Bane (36761957),Desmond Bane,36761957,SG/SF/F/G/UTIL,7100,MEM@CHI 11/23/2024 08:00PM ET,MEM,33.86
PG/SG,Austin Reaves (36761962),Austin Reaves,36761962,PG/SG/G/UTIL,6900,DEN@LAL 11/23/2024 10:30PM ET,LAL,32.87
PG,Scotty Pippen Jr. (36761970),Scotty Pippen Jr.,36761970,PG/G/UTIL,6700,MEM@CHI 11/23/2024 08:00PM ET,MEM,28.44
PG/SG,Jaden Ivey (36761966),Jaden Ivey,36761966,PG/SG/G/UTIL,6700,DET@ORL 11/23/2024 07:00PM ET,DET,32.22
C,Jalen Duren (36761984),Jalen Duren,36761984,C/UTIL,6700,DET@ORL 11/23/2024 07:00PM ET,DET,28.17
C,Deandre Ayton (36761976),Deandre Ayton,36761976,C/UTIL,6600,POR@HOU 11/23/2024 08:00PM ET,POR,31.27
SG,Jalen Green (36761981),Jalen Green,36761981,SG/G/UTIL,6600,POR@HOU 11/23/2024 08:00PM ET,HOU,32.03
PG,Jalen Suggs (36761973),Jalen Suggs,36761973,PG/G/UTIL,6600,DET@ORL 11/23/2024 07:00PM ET,ORL,31.93
SF,Aaron Gordon (36761978),Aaron Gordon,36761978,SF/F/UTIL,6600,DEN@LAL 11/23/2024 10:30PM ET,DEN,31.18
C,Jeremy Sochan (36761989),Jeremy Sochan,36761989,C/UTIL,6500,GSW@SAS 11/23/2024 08:30PM ET,SAS,31.93
PG,Chris Paul (36761994),Chris Paul,36761994,PG/G/UTIL,6500,GSW@SAS 11/23/2024 08:30PM ET,SAS,32.09
SG,Khris Middleton (36761986),Khris Middleton,36761986,SG/G/UTIL,6500,CHA@MIL 11/23/2024 08:00PM ET,MIL,0
PG,Josh Giddey (36761991),Josh Giddey,36761991,PG/G/UTIL,6400,MEM@CHI 11/23/2024 08:00PM ET,CHI,31.13
PF,Tobias Harris (36761997),Tobias Harris,36761997,PF/F/UTIL,6400,DET@ORL 11/23/2024 07:00PM ET,DET,31.18
C,Zach Collins (36762009),Zach Collins,36762009,C/UTIL,6300,GSW@SAS 11/23/2024 08:30PM ET,SAS,17.48
