Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (36779264),Nikola Jokic,36779264,C/UTIL,12000,NYK@DEN 11/25/2024 09:00PM ET,DEN,71.77
SF/PF,Jayson Tatum (36779269),Jayson Tatum,36779269,SF/PF/F/UTIL,10200,LAC@BOS 11/25/2024 07:30PM ET,BOS,53.16
PG,LaMelo Ball (36779273),LaMelo Ball,36779273,PG/G/UTIL,10000,ORL@CHA 11/25/2024 07:00PM ET,CHA,49.91
PG,Cade Cunningham (36779276),Cade Cunningham,36779276,PG/G/UTIL,9800,TOR@DET 11/25/2024 07:00PM ET,DET,49.66
PG/SG,Kyrie Irving (36779279),Kyrie Irving,36779279,PG/SG/G/UTIL,9700,DAL@ATL 11/25/2024 07:30PM ET,DAL,40.95
SF/PF,Franz Wagner (36779283),Franz Wagner,36779283,SF/PF/F/UTIL,9600,ORL@CHA 11/25/2024 07:00PM ET,ORL,43.19
PG,Trae Young (36779291),Trae Young,36779291,PG/G/UTIL,9200,DAL@ATL 11/25/2024 07:30PM ET,ATL,47.59
PG,James Harden (36779294),James Harden,36779294,PG/G/UTIL,9100,LAC@BOS 11/25/2024 07:30PM ET,LAC,47.68
PG,Ja Morant (36779297),Ja Morant,36779297,PG/G/UTIL,9000,POR@MEM 11/25/2024 08:00PM ET,MEM,42
PG,Jalen Brunson (36779302),Jalen Brunson,36779302,PG/G/UTIL,8800,NYK@DEN 11/25/2024 09:00PM ET,NYK,41.36
SG/SF,Brandon Ingram (36779305),Brandon Ingram,36779305,SG/SF/F/G/UTIL,8700,NOP@IND 11/25/2024 07:00PM ET,NOP,40.38
SF/PF,RJ Barrett (36779310),RJ Barrett,36779310,SF/PF/F/UTIL,8600,TOR@DET 11/25/2024 07:00PM ET,TOR,43.11
PG/SF,Scottie Barnes (36779314),Scottie Barnes,36779314,PG/SF/F/G/UTIL,8500,TOR@DET 11/25/2024 07:00PM ET,TOR,40.54
PG/SG,Jamal Murray (36779319),Jamal Murray,36779319,PG/SG/G/UTIL,8400,NYK@DEN 11/25/2024 09:00PM ET,DEN,35.81
PF,Jalen Johnson (36779323),Jalen Johnson,36779323,PF/F/UTIL,8300,DAL@ATL 11/25/2024 07:30PM ET,ATL,45.47
SG/SF,Jaylen Brown (36779329),Jaylen Brown,36779329,SG/SF/F/G/UTIL,8200,LAC@BOS 11/25/2024 07:30PM ET,BOS,43.71
PG,Tyrese Haliburton (36779334),Tyrese Haliburton,36779334,PG/G/UTIL,8100,NOP@IND 11/25/2024 07:00PM ET,IND,37.41
C,Jakob Poeltl (36779337),Jakob Poeltl,36779337,C/UTIL,8000,TOR@DET 11/25/2024 07:00PM ET,TOR,40.43
PF,Jaren Jackson Jr. (36779343),Jaren Jackson Jr.,36779343,PF/F/UTIL,7900,POR@MEM 11/25/2024 08:00PM ET,MEM,37.83
PG/SG,CJ McCollum (36779346),CJ McCollum,36779346,PG/SG/G/UTIL,7800,NOP@IND 11/25/2024 07:00PM ET,NOP,36.25
C,Kristaps Porzingis (36779350),Kristaps Porzingis,36779350,C/UTIL,7700,LAC@BOS 11/25/2024 07:30PM ET,BOS,0
SF/PF,Michael Porter Jr. (36779352),Michael Porter Jr.,36779352,SF/PF/F/UTIL,7600,NYK@DEN 11/25/2024 09:00PM ET,DEN,35.5
SG/SF,Brandon Miller (36779356),Brandon Miller,36779356,SG/SF/F/G/UTIL,7500,ORL@CHA 11/25/2024 07:00PM ET,CHA,36.60
PG/SF,Desmond Bane (36779361),Desmond Bane,36779361,PG/SF/F/G/UTIL,7400,POR@MEM 11/25/2024 08:00PM ET,MEM,33.1
SF/PF,Josh Hart (36779366),Josh Hart,36779366,SF/PF/F/UTIL,7300,NYK@DEN 11/25/2024 09:00PM ET,NYK,37.52
PF,Pascal Siakam (36779373),Pascal Siakam,36779373,PF/F/UTIL,7100,NOP@IND 11/25/2024 07:00PM ET,IND,36.87
PG/SG,Derrick White (36779376),Derrick White,36779376,PG/SG/G/UTIL,7000,LAC@BOS 11/25/2024 07:30PM ET,BOS,35.71
C,Ivica Zubac (36779380),Ivica Zubac,36779380,C/UTIL,7000,LAC@BOS 11/25/2024 07:30PM ET,LAC,37.93
PG,Scotty Pippen Jr. (36779382),Scotty Pippen Jr.,36779382,PG/G/UTIL,6900,POR@MEM 11/25/2024 08:00PM ET,MEM,29.62
SF/PF,OG Anunoby (36779395),OG Anunoby,36779395,SF/PF/F/UTIL,6800,NYK@DEN 11/25/2024 09:00PM ET,NYK,32.59
PG/SG,Jaden Ivey (36779385),Jaden Ivey,36779385,PG/SG/G/UTIL,6800,TOR@DET 11/25/2024 07:00PM ET,DET,32.48
PG/SG,Dyson Daniels (36779389),Dyson Daniels,36779389,PG/SG/G/UTIL,6700,DAL@ATL 11/25/2024 07:30PM ET,ATL,33.07
C,Myles Turner (36779393),Myles Turner,36779393,C/UTIL,6700,NOP@IND 11/25/2024 07:00PM ET,IND,33.3
SG/SF,Norman Powell (36779404),Norman Powell,36779404,SG/SF/F/G/UTIL,6600,LAC@BOS 11/25/2024 07:30PM ET,LAC,34.23
C,Deandre Ayton (36779399),Deandre Ayton,36779399,C/UTIL,6600,POR@MEM 11/25/2024 08:00PM ET,POR,31.27
PG/SF,Brandon Boston Jr. (36779409),Brandon Boston Jr.,36779409,PG/SF/F/G/UTIL,6600,NOP@IND 11/25/2024 07:00PM ET,NOP,27.39
PG,Jalen Suggs (36779414),Jalen Suggs,36779414,PG/G/UTIL,6500,ORL@CHA 11/25/2024 07:00PM ET,ORL,30.46
SF,Bennedict Mathurin (36779417),Bennedict Mathurin,36779417,SF/F/UTIL,6500,NOP@IND 11/25/2024 07:00PM ET,IND,31.71
C,Jalen Duren (36779439),Jalen Duren,36779439,C/UTIL,6400,TOR@DET 11/25/2024 07:00PM ET,DET,27.28
SF/PF,Trey Murphy III (36779420),Trey Murphy III,36779420,SF/PF/F/UTIL,6400,NOP@IND 11/25/2024 07:00PM ET,NOP,28.9
SG/SF,Mikal Bridges (36779430),Mikal Bridges,36779430,SG/SF/F/G/UTIL,6300,NYK@DEN 11/25/2024 09:00PM ET,NYK,29.38
PF,Tobias Harris (36779427),Tobias Harris,36779427,PF/F/UTIL,6200,TOR@DET 11/25/2024 07:00PM ET,DET,30.40
PG/SG,Shaedon Sharpe (36779435),Shaedon Sharpe,36779435,PG/SG/G/UTIL,6200,POR@MEM 11/25/2024 08:00PM ET,POR,27.33
C,Mark Williams (36779444),Mark Williams,36779444,C/UTIL,6100,ORL@CHA 11/25/2024 07:00PM ET,CHA,0
PF,Santi Aldama (36779441),Santi Aldama,36779441,PF/F/UTIL,6100,POR@MEM 11/25/2024 08:00PM ET,MEM,30.10
PG/SG,Anfernee Simons (36779446),Anfernee Simons,36779446,PG/SG/G/UTIL,6100,POR@MEM 11/25/2024 08:00PM ET,POR,26.11
PF,PJ Washington (36779450),PJ Washington,36779450,PF/F/UTIL,6000,DAL@ATL 11/25/2024 07:30PM ET,DAL,30.33
PG,Russell Westbrook (36779453),Russell Westbrook,36779453,PG/G/UTIL,6000,NYK@DEN 11/25/2024 09:00PM ET,DEN,29.77
PF,Jerami Grant (36779461),Jerami Grant,36779461,PF/F/UTIL,5900,POR@MEM 11/25/2024 08:00PM ET,POR,28.46
SG/SF,Christian Braun (36779471),Christian Braun,36779471,SG/SF/F/G/UTIL,5700,NYK@DEN 11/25/2024 09:00PM ET,DEN,29.37
SG/SF,Klay Thompson (36779476),Klay Thompson,36779476,SG/SF/F/G/UTIL,5600,DAL@ATL 11/25/2024 07:30PM ET,DAL,23.57
C,Clint Capela (36779481),Clint Capela,36779481,C/UTIL,5600,DAL@ATL 11/25/2024 07:30PM ET,ATL,26.65
PF/C,Jeremiah Robinson-Earl (36779483),Jeremiah Robinson-Earl,36779483,PF/C/F/UTIL,5600,NOP@IND 11/25/2024 07:00PM ET,NOP,17.35
C,Dereck Lively II (36779495),Dereck Lively II,36779495,C/UTIL,5500,DAL@ATL 11/25/2024 07:30PM ET,DAL,25.69
PF,Peyton Watson (36779492),Peyton Watson,36779492,PF/F/UTIL,5500,NYK@DEN 11/25/2024 09:00PM ET,DEN,20.37
C,Daniel Gafford (36779497),Daniel Gafford,36779497,C/UTIL,5400,DAL@ATL 11/25/2024 07:30PM ET,DAL,25.46
SG/SF,Malik Beasley (36779487),Malik Beasley,36779487,SG/SF/F/G/UTIL,5400,TOR@DET 11/25/2024 07:00PM ET,DET,24.74
PG,Jrue Holiday (36779502),Jrue Holiday,36779502,PG/G/UTIL,5300,LAC@BOS 11/25/2024 07:30PM ET,BOS,25.61
SF,Deni Avdija (36779499),Deni Avdija,36779499,SF/F/UTIL,5300,POR@MEM 11/25/2024 08:00PM ET,POR,25.44
SF/PF,De'Andre Hunter (36779505),De'Andre Hunter,36779505,SF/PF/F/UTIL,5200,DAL@ATL 11/25/2024 07:30PM ET,ATL,28.5
SG/SF,Toumani Camara (36779519),Toumani Camara,36779519,SG/SF/F/G/UTIL,5200,POR@MEM 11/25/2024 08:00PM ET,POR,22.63
PG/SG,Jordan Hawkins (36779515),Jordan Hawkins,36779515,PG/SG/G/UTIL,5200,NOP@IND 11/25/2024 07:00PM ET,NOP,23.81
PG/SG,Payton Pritchard (36779535),Payton Pritchard,36779535,PG/SG/G/UTIL,5100,LAC@BOS 11/25/2024 07:30PM ET,BOS,25.5
C,Goga Bitadze (36779524),Goga Bitadze,36779524,C/UTIL,5100,ORL@CHA 11/25/2024 07:00PM ET,ORL,22.30
SG/SF,Jaylen Wells (36779526),Jaylen Wells,36779526,SG/SF/F/G/UTIL,5100,POR@MEM 11/25/2024 08:00PM ET,MEM,20.87
SG/SF,Bogdan Bogdanovic (36779548),Bogdan Bogdanovic,36779548,SG/SF/F/G/UTIL,5000,DAL@ATL 11/25/2024 07:30PM ET,ATL,18.44
C,Wendell Carter Jr. (36779539),Wendell Carter Jr.,36779539,C/UTIL,5000,ORL@CHA 11/25/2024 07:00PM ET,ORL,26.12
SF/PF,Ochai Agbaji (36779541),Ochai Agbaji,36779541,SF/PF/F/UTIL,5000,TOR@DET 11/25/2024 07:00PM ET,TOR,25.03
PG,T.J. McConnell (36779545),T.J. McConnell,36779545,PG/G/UTIL,5000,NOP@IND 11/25/2024 07:00PM ET,IND,21.92
SF/PF,Naji Marshall (36779556),Naji Marshall,36779556,SF/PF/F/UTIL,4900,DAL@ATL 11/25/2024 07:30PM ET,DAL,20.98
C,Moussa Diabate (36779560),Moussa Diabate,36779560,C/UTIL,4900,ORL@CHA 11/25/2024 07:00PM ET,CHA,17.17
PG,Scoot Henderson (36779553),Scoot Henderson,36779553,PG/G/UTIL,4900,POR@MEM 11/25/2024 08:00PM ET,POR,23.77
C,Al Horford (36779569),Al Horford,36779569,C/UTIL,4800,LAC@BOS 11/25/2024 07:30PM ET,BOS,24.75
PG,Bruce Brown (36779562),Bruce Brown,36779562,PG/G/UTIL,4800,TOR@DET 11/25/2024 07:00PM ET,TOR,0
PF/C,Robert Williams (36779565),Robert Williams,36779565,PF/C/F/UTIL,4800,POR@MEM 11/25/2024 08:00PM ET,POR,25.71
PG/SG,Dalano Banton (36779571),Dalano Banton,36779571,PG/SG/G/UTIL,4700,POR@MEM 11/25/2024 08:00PM ET,POR,19.37
PF,Javonte Green (36779575),Javonte Green,36779575,PF/F/UTIL,4700,NOP@IND 11/25/2024 07:00PM ET,NOP,15.74
C,Onyeka Okongwu (36779587),Onyeka Okongwu,36779587,C/UTIL,4600,DAL@ATL 11/25/2024 07:30PM ET,ATL,24.02
SF/PF,Ausar Thompson (36779583),Ausar Thompson,36779583,SF/PF/F/UTIL,4600,TOR@DET 11/25/2024 07:00PM ET,DET,0
PG/SG,Davion Mitchell (36779593),Davion Mitchell,36779593,PG/SG/G/UTIL,4600,TOR@DET 11/25/2024 07:00PM ET,TOR,21.65
PG/SG,Marcus Smart (36779589),Marcus Smart,36779589,PG/SG/G/UTIL,4600,POR@MEM 11/25/2024 08:00PM ET,MEM,19.36
SG/SF,Quentin Grimes (36779607),Quentin Grimes,36779607,SG/SF/F/G/UTIL,4500,DAL@ATL 11/25/2024 07:30PM ET,DAL,14.02
PG/SG,Kris Dunn (36779603),Kris Dunn,36779603,PG/SG/G/UTIL,4500,LAC@BOS 11/25/2024 07:30PM ET,LAC,19.76
