Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Anthony Davis (36865086),Anthony Davis,36865086,C/UTIL,10800,LAL@MIN 12/02/2024 08:00PM ET,LAL,54.93
SF/PF,Jayson Tatum (36865088),Jayson Tatum,36865088,SF/PF/F/UTIL,10300,MIA@BOS 12/02/2024 07:30PM ET,BOS,53.22
PF/C,LeBron James (36865092),LeBron James,36865092,PF/C/F/UTIL,9800,LAL@MIN 12/02/2024 08:00PM ET,LAL,49.76
PG/SG,Anthony Edwards (36865096),Anthony Edwards,36865096,PG/SG/G/UTIL,9300,LAL@MIN 12/02/2024 08:00PM ET,MIN,44.71
PG,Trae Young (36865100),Trae Young,36865100,PG/G/UTIL,8800,NOP@ATL 12/02/2024 07:30PM ET,ATL,46.91
SG/SF,Brandon Ingram (36865105),Brandon Ingram,36865105,SG/SF/F/G/UTIL,8500,NOP@ATL 12/02/2024 07:30PM ET,NOP,40.38
C,Nikola Vucevic (36865110),Nikola Vucevic,36865110,C/UTIL,8400,BKN@CHI 12/02/2024 08:00PM ET,CHI,42.54
SG/SF,Jaylen Brown (36865112),Jaylen Brown,36865112,SG/SF/F/G/UTIL,8300,MIA@BOS 12/02/2024 07:30PM ET,BOS,42.45
PF,Jalen Johnson (36865117),Jalen Johnson,36865117,PF/F/UTIL,8200,NOP@ATL 12/02/2024 07:30PM ET,ATL,45.85
C,Bam Adebayo (36865120),Bam Adebayo,36865120,C/UTIL,8100,MIA@BOS 12/02/2024 07:30PM ET,MIA,41.12
PG,Dejounte Murray (36865122),Dejounte Murray,36865122,PG/G/UTIL,8000,NOP@ATL 12/02/2024 07:30PM ET,NOP,34.75
SG/SF,Zach LaVine (36865125),Zach LaVine,36865125,SG/SF/F/G/UTIL,7800,BKN@CHI 12/02/2024 08:00PM ET,CHI,36.32
PF/C,Julius Randle (36865130),Julius Randle,36865130,PF/C/F/UTIL,7700,LAL@MIN 12/02/2024 08:00PM ET,MIN,37.09
PG,Tyler Herro (36865138),Tyler Herro,36865138,PG/G/UTIL,7500,MIA@BOS 12/02/2024 07:30PM ET,MIA,40.75
PG/SG,CJ McCollum (36865141),CJ McCollum,36865141,PG/SG/G/UTIL,7400,NOP@ATL 12/02/2024 07:30PM ET,NOP,33.62
PG/SG,Dennis Schroder (36865150),Dennis Schroder,36865150,PG/SG/G/UTIL,7100,BKN@CHI 12/02/2024 08:00PM ET,BKN,35.17
PG/SG,Coby White (36865156),Coby White,36865156,PG/SG/G/UTIL,6900,BKN@CHI 12/02/2024 08:00PM ET,CHI,32.88
PG/SG,Derrick White (36865160),Derrick White,36865160,PG/SG/G/UTIL,6800,MIA@BOS 12/02/2024 07:30PM ET,BOS,35.74
C,Rudy Gobert (36865164),Rudy Gobert,36865164,C/UTIL,6700,LAL@MIN 12/02/2024 08:00PM ET,MIN,31.03
SF/PF,Cameron Johnson (36865166),Cameron Johnson,36865166,SF/PF/F/UTIL,6600,BKN@CHI 12/02/2024 08:00PM ET,BKN,31.45
PG/SG,Austin Reaves (36865170),Austin Reaves,36865170,PG/SG/G/UTIL,6500,LAL@MIN 12/02/2024 08:00PM ET,LAL,31.12
PG/SG,Dyson Daniels (36865174),Dyson Daniels,36865174,PG/SG/G/UTIL,6400,NOP@ATL 12/02/2024 07:30PM ET,ATL,32.14
PG,Josh Giddey (36865178),Josh Giddey,36865178,PG/G/UTIL,6300,BKN@CHI 12/02/2024 08:00PM ET,CHI,31.24
SF/PF,Trey Murphy III (36865181),Trey Murphy III,36865181,SF/PF/F/UTIL,6200,NOP@ATL 12/02/2024 07:30PM ET,NOP,30.72
C,Nic Claxton (36865185),Nic Claxton,36865185,C/UTIL,6000,BKN@CHI 12/02/2024 08:00PM ET,BKN,25.03
SG/SF,Brandon Boston Jr. (36865193),Brandon Boston Jr.,36865193,SG/SF/F/G/UTIL,5600,NOP@ATL 12/02/2024 07:30PM ET,NOP,25.75
PG/SG,Payton Pritchard (36865198),Payton Pritchard,36865198,PG/SG/G/UTIL,5500,MIA@BOS 12/02/2024 07:30PM ET,BOS,27.68
C,Clint Capela (36865202),Clint Capela,36865202,C/UTIL,5400,NOP@ATL 12/02/2024 07:30PM ET,ATL,26.77
PG/SG,Ayo Dosunmu (36865204),Ayo Dosunmu,36865204,PG/SG/G/UTIL,5300,BKN@CHI 12/02/2024 08:00PM ET,CHI,24.46
PG/SG,Terry Rozier (36865208),Terry Rozier,36865208,PG/SG/G/UTIL,5200,MIA@BOS 12/02/2024 07:30PM ET,MIA,24.81
PF/C,Herbert Jones (36865212),Herbert Jones,36865212,PF/C/F/UTIL,5200,NOP@ATL 12/02/2024 07:30PM ET,NOP,15
SG/SF,Ziaire Williams (36865216),Ziaire Williams,36865216,SG/SF/F/G/UTIL,5100,BKN@CHI 12/02/2024 08:00PM ET,BKN,18.43
C,Yves Missi (36865221),Yves Missi,36865221,C/UTIL,5100,NOP@ATL 12/02/2024 07:30PM ET,NOP,23.54
SG/SF,Dalton Knecht (36865230),Dalton Knecht,36865230,SG/SF/F/G/UTIL,5000,LAL@MIN 12/02/2024 08:00PM ET,LAL,19.99
SF/PF,De'Andre Hunter (36865223),De'Andre Hunter,36865223,SF/PF/F/UTIL,5000,NOP@ATL 12/02/2024 07:30PM ET,ATL,27.78
PG/SG,Donte DiVincenzo (36865239),Donte DiVincenzo,36865239,PG/SG/G/UTIL,4900,LAL@MIN 12/02/2024 08:00PM ET,MIN,20.74
SF,Jaden McDaniels (36865243),Jaden McDaniels,36865243,SF/F/UTIL,4900,LAL@MIN 12/02/2024 08:00PM ET,MIN,21.83
PG,Mike Conley (36865249),Mike Conley,36865249,PG/G/UTIL,4800,LAL@MIN 12/02/2024 08:00PM ET,MIN,23.23
SF/PF,Rui Hachimura (36865254),Rui Hachimura,36865254,SF/PF/F/UTIL,4800,LAL@MIN 12/02/2024 08:00PM ET,LAL,24.62
C,Onyeka Okongwu (36865252),Onyeka Okongwu,36865252,C/UTIL,4800,NOP@ATL 12/02/2024 07:30PM ET,ATL,24.64
SF,Jalen Wilson (36865258),Jalen Wilson,36865258,SF/F/UTIL,4700,BKN@CHI 12/02/2024 08:00PM ET,BKN,17.09
PF/C,Naz Reid (36865266),Naz Reid,36865266,PF/C/F/UTIL,4700,LAL@MIN 12/02/2024 08:00PM ET,MIN,25.16
SG,Duncan Robinson (36865270),Duncan Robinson,36865270,SG/G/UTIL,4600,MIA@BOS 12/02/2024 07:30PM ET,MIA,18.40
SG/SF,Bogdan Bogdanovic (36865261),Bogdan Bogdanovic,36865261,SG/SF/F/G/UTIL,4600,NOP@ATL 12/02/2024 07:30PM ET,ATL,20.68
SF/PF,Sam Hauser (36865283),Sam Hauser,36865283,SF/PF/F/UTIL,4500,MIA@BOS 12/02/2024 07:30PM ET,BOS,16.91
PF/C,Jeremiah Robinson-Earl (36865276),Jeremiah Robinson-Earl,36865276,PF/C/F/UTIL,4500,NOP@ATL 12/02/2024 07:30PM ET,NOP,17.49
PG,Elfrid Payton (36865280),Elfrid Payton,36865280,PG/G/UTIL,4500,NOP@ATL 12/02/2024 07:30PM ET,NOP,27.25
PF/C,Trendon Watford (36865293),Trendon Watford,36865293,PF/C/F/UTIL,4400,BKN@CHI 12/02/2024 08:00PM ET,BKN,17.09
PG,D'Angelo Russell (36865287),D'Angelo Russell,36865287,PG/G/UTIL,4400,LAL@MIN 12/02/2024 08:00PM ET,LAL,24.91
SF/PF,Jaime Jaquez Jr. (36865299),Jaime Jaquez Jr.,36865299,SF/PF/F/UTIL,4300,MIA@BOS 12/02/2024 07:30PM ET,MIA,20.66
C,Jaxson Hayes (36865297),Jaxson Hayes,36865297,C/UTIL,4300,LAL@MIN 12/02/2024 08:00PM ET,LAL,15.27
C,Neemias Queta (36865309),Neemias Queta,36865309,C/UTIL,4200,MIA@BOS 12/02/2024 07:30PM ET,BOS,16.12
SF,Zaccharie Risacher (36865303),Zaccharie Risacher,36865303,SF/F/UTIL,4200,NOP@ATL 12/02/2024 07:30PM ET,ATL,21.57
PF,Javonte Green (36865306),Javonte Green,36865306,PF/F/UTIL,4200,NOP@ATL 12/02/2024 07:30PM ET,NOP,15.77
PF,Bojan Bogdanovic (36865322),Bojan Bogdanovic,36865322,PF/F/UTIL,4100,BKN@CHI 12/02/2024 08:00PM ET,BKN,0
C,Jarred Vanderbilt (36865311),Jarred Vanderbilt,36865311,C/UTIL,4100,LAL@MIN 12/02/2024 08:00PM ET,LAL,0
C,Kevin Love (36865325),Kevin Love,36865325,C/UTIL,4000,MIA@BOS 12/02/2024 07:30PM ET,MIA,18.28
PG/SG,Lonzo Ball (36865318),Lonzo Ball,36865318,PG/SG/G/UTIL,4000,BKN@CHI 12/02/2024 08:00PM ET,CHI,16.8
SG/SF,Nickeil Alexander-Walker (36865313),Nickeil Alexander-Walker,36865313,SG/SF/F/G/UTIL,4000,LAL@MIN 12/02/2024 08:00PM ET,MIN,19.54
C,Luke Kornet (36865327),Luke Kornet,36865327,C/UTIL,3900,MIA@BOS 12/02/2024 07:30PM ET,BOS,14.2
SF/PF,Haywood Highsmith (36865329),Haywood Highsmith,36865329,SF/PF/F/UTIL,3900,MIA@BOS 12/02/2024 07:30PM ET,MIA,16.27
SF,Tyrese Martin (36865335),Tyrese Martin,36865335,SF/F/UTIL,3800,BKN@CHI 12/02/2024 08:00PM ET,BKN,11.47
C,Christian Wood (36865333),Christian Wood,36865333,C/UTIL,3800,LAL@MIN 12/02/2024 08:00PM ET,LAL,0
PG,Shake Milton (36865338),Shake Milton,36865338,PG/G/UTIL,3700,BKN@CHI 12/02/2024 08:00PM ET,BKN,10
SF,Max Christie (36865341),Max Christie,36865341,SF/F/UTIL,3700,LAL@MIN 12/02/2024 08:00PM ET,LAL,11.38
PF,Torrey Craig (36865348),Torrey Craig,36865348,PF/F/UTIL,3600,BKN@CHI 12/02/2024 08:00PM ET,CHI,9.88
C,Jalen Smith (36865351),Jalen Smith,36865351,C/UTIL,3600,BKN@CHI 12/02/2024 08:00PM ET,CHI,17.60
SF/PF,Cam Reddish (36865353),Cam Reddish,36865353,SF/PF/F/UTIL,3600,LAL@MIN 12/02/2024 08:00PM ET,LAL,10.79
PG/SG,Keon Johnson (36865344),Keon Johnson,36865344,PG/SG/G/UTIL,3500,BKN@CHI 12/02/2024 08:00PM ET,BKN,12.22
C,Christian Koloko (36865357),Christian Koloko,36865357,C/UTIL,3500,LAL@MIN 12/02/2024 08:00PM ET,LAL,5.84
SF,Jamal Cain (36865359),Jamal Cain,36865359,SF/F/UTIL,3500,NOP@ATL 12/02/2024 07:30PM ET,NOP,11.65
SF,Antonio Reeves (36865362),Antonio Reeves,36865362,SF/F/UTIL,3400,NOP@ATL 12/02/2024 07:30PM ET,NOP,8.46
PG,Kobe Bufkin (36865365),Kobe Bufkin,36865365,PG/G/UTIL,3400,NOP@ATL 12/02/2024 07:30PM ET,ATL,12.5
C,Daniel Theis (36865379),Daniel Theis,36865379,C/UTIL,3400,NOP@ATL 12/02/2024 07:30PM ET,NOP,11.41
SF,Pelle Larsson (36865372),Pelle Larsson,36865372,SF/F/UTIL,3300,MIA@BOS 12/02/2024 07:30PM ET,MIA,11.21
SF/PF,Matas Buzelis (36865368),Matas Buzelis,36865368,SF/PF/F/UTIL,3300,BKN@CHI 12/02/2024 08:00PM ET,CHI,9.2
PG/SG,Gabe Vincent (36865375),Gabe Vincent,36865375,PG/SG/G/UTIL,3300,LAL@MIN 12/02/2024 08:00PM ET,LAL,6.64
PG/SG,Alec Burks (36865385),Alec Burks,36865385,PG/SG/G/UTIL,3200,MIA@BOS 12/02/2024 07:30PM ET,MIA,12.75
PF/C,Noah Clowney (36865381),Noah Clowney,36865381,PF/C/F/UTIL,3200,BKN@CHI 12/02/2024 08:00PM ET,BKN,14.65
SF,Talen Horton-Tucker (36865389),Talen Horton-Tucker,36865389,SF/F/UTIL,3200,BKN@CHI 12/02/2024 08:00PM ET,CHI,12.3
PF,Nikola Jovic (36865392),Nikola Jovic,36865392,PF/F/UTIL,3100,MIA@BOS 12/02/2024 07:30PM ET,MIA,16.5
PF,Julian Phillips (36865395),Julian Phillips,36865395,PF/F/UTIL,3100,BKN@CHI 12/02/2024 08:00PM ET,CHI,9.39
SG/SF,Garrison Mathews (36865398),Garrison Mathews,36865398,SG/SF/F/G/UTIL,3100,NOP@ATL 12/02/2024 07:30PM ET,ATL,14.18
SF,Anton Watson (36865409),Anton Watson,36865409,SF/F/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,BOS,0
SG/SF,Jaden Springer (36865412),Jaden Springer,36865412,SG/SF/F/G/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,BOS,3.92
SG/SF,Baylor Scheierman (36865420),Baylor Scheierman,36865420,SG/SF/F/G/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,BOS,3.25
PF/C,Xavier Tillman (36865425),Xavier Tillman,36865425,PF/C/F/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,BOS,5.69
SF/PF,Jordan Walsh (36865429),Jordan Walsh,36865429,SF/PF/F/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,BOS,4.52
PG,JD Davison (36865433),JD Davison,36865433,PG/G/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,BOS,1.92
SF,Drew Peterson (36865436),Drew Peterson,36865436,SF/F/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,BOS,5.94
C,Thomas Bryant (36865506),Thomas Bryant,36865506,C/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,MIA,11.39
SF,Keshad Johnson (36865508),Keshad Johnson,36865508,SF/F/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,MIA,0
PG,Josh Christopher (36865511),Josh Christopher,36865511,PG/G/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,MIA,0
C,Kel'el Ware (36865514),Kel'el Ware,36865514,C/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,MIA,6.05
PG,Dru Smith (36865516),Dru Smith,36865516,PG/G/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,MIA,10.25
PG/SG,Josh Richardson (36865519),Josh Richardson,36865519,PG/SG/G/UTIL,3000,MIA@BOS 12/02/2024 07:30PM ET,MIA,10.25
SF,Cui Yongxi (36865403),Cui Yongxi,36865403,SF/F/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,BKN,0.25
SF,Dalen Terry (36865417),Dalen Terry,36865417,SF/F/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,CHI,9.19
PG/SG,Jevon Carter (36865461),Jevon Carter,36865461,PG/SG/G/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,CHI,4.56
PG,DJ Steward (36865465),DJ Steward,36865465,PG/G/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,CHI,0
SG,Chris Duarte (36865468),Chris Duarte,36865468,SG/G/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,CHI,4.85
C,E.J. Liddell (36865471),E.J. Liddell,36865471,C/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,CHI,5.5
C,Adama Sanogo (36865473),Adama Sanogo,36865473,C/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,CHI,3.17
SF,Dariq Whitehead (36865529),Dariq Whitehead,36865529,SF/F/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,BKN,0.12
SF,Jaylen Martin (36865532),Jaylen Martin,36865532,SF/F/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,BKN,1.75
C,Day'Ron Sharpe (36865535),Day'Ron Sharpe,36865535,C/UTIL,3000,BKN@CHI 12/02/2024 08:00PM ET,BKN,0
PF,Maxwell Lewis (36865406),Maxwell Lewis,36865406,PF/F/UTIL,3000,LAL@MIN 12/02/2024 08:00PM ET,LAL,0.31
