Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Victor Wembanyama (36805394),Victor Wembanyama,36805394,C/UTIL,10800,LAL@SAS 11/27/2024 08:30PM ET,SAS,51
C,Anthony Davis (36805396),Anthony Davis,36805396,C/UTIL,10500,LAL@SAS 11/27/2024 08:30PM ET,LAL,55.47
PG,LaMelo Ball (36805398),LaMelo Ball,36805398,PG/G/UTIL,10300,MIA@CHA 11/27/2024 07:00PM ET,CHA,50.98
PF/C,LeBron James (36805401),LeBron James,36805401,PF/C/F/UTIL,10000,LAL@SAS 11/27/2024 08:30PM ET,LAL,50.44
PG,Cade Cunningham (36805407),Cade Cunningham,36805407,PG/G/UTIL,9800,DET@MEM 11/27/2024 08:00PM ET,DET,49.66
SF/PF,Franz Wagner (36805410),Franz Wagner,36805410,SF/PF/F/UTIL,9700,CHI@ORL 11/27/2024 07:00PM ET,ORL,43.30
PG/SG,Kyrie Irving (36805414),Kyrie Irving,36805414,PG/SG/G/UTIL,9600,NYK@DAL 11/27/2024 07:30PM ET,DAL,41.56
C,Karl-Anthony Towns (36805418),Karl-Anthony Towns,36805418,C/UTIL,9500,NYK@DAL 11/27/2024 07:30PM ET,NYK,51.47
PG/SG,Anthony Edwards (36805420),Anthony Edwards,36805420,PG/SG/G/UTIL,9500,SAC@MIN 11/27/2024 08:00PM ET,MIN,44.98
C,Domantas Sabonis (36805424),Domantas Sabonis,36805424,C/UTIL,9400,SAC@MIN 11/27/2024 08:00PM ET,SAC,48.75
PG,Trae Young (36805428),Trae Young,36805428,PG/G/UTIL,9200,ATL@CLE 11/27/2024 07:00PM ET,ATL,47.82
PG,De'Aaron Fox (36805431),De'Aaron Fox,36805431,PG/G/UTIL,9100,SAC@MIN 11/27/2024 08:00PM ET,SAC,45.75
PG,James Harden (36805434),James Harden,36805434,PG/G/UTIL,9000,LAC@WAS 11/27/2024 07:00PM ET,LAC,47.36
PG,Jalen Brunson (36805437),Jalen Brunson,36805437,PG/G/UTIL,8900,NYK@DAL 11/27/2024 07:30PM ET,NYK,42.15
PG/SG,Donovan Mitchell (36805442),Donovan Mitchell,36805442,PG/SG/G/UTIL,8800,ATL@CLE 11/27/2024 07:00PM ET,CLE,39.72
PG/SF,Scottie Barnes (36805446),Scottie Barnes,36805446,PG/SF/F/G/UTIL,8700,TOR@NOP 11/27/2024 08:00PM ET,TOR,44.11
PG,Tyrese Haliburton (36805453),Tyrese Haliburton,36805453,PG/G/UTIL,8600,POR@IND 11/27/2024 07:00PM ET,IND,39.12
C,Alperen Sengun (36805451),Alperen Sengun,36805451,C/UTIL,8600,HOU@PHI 11/27/2024 07:00PM ET,HOU,44.71
