Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (36959803),Luka Doncic,36959803,PG/G/UTIL,11300,DAL@OKC 12/10/2024 09:30PM ET,DAL,56.90
PF/C,Giannis Antetokounmpo (36959806),Giannis Antetokounmpo,36959806,PF/C/F/UTIL,11100,ORL@MIL 12/10/2024 07:00PM ET,MIL,60.18
PG,Shai Gilgeous-Alexander (36959810),Shai Gilgeous-Alexander,36959810,PG/G/UTIL,10000,DAL@OKC 12/10/2024 09:30PM ET,OKC,51.10
PG,Damian Lillard (36959818),Damian Lillard,36959818,PG/G/UTIL,9000,ORL@MIL 12/10/2024 07:00PM ET,MIL,45.56
PF,Jalen Williams (36959821),Jalen Williams,36959821,PF/F/UTIL,8700,DAL@OKC 12/10/2024 09:30PM ET,OKC,43.15
PG/SG,Kyrie Irving (36959824),Kyrie Irving,36959824,PG/SG/G/UTIL,8300,DAL@OKC 12/10/2024 09:30PM ET,DAL,41.80
PG,Jalen Suggs (36959831),Jalen Suggs,36959831,PG/G/UTIL,7300,ORL@MIL 12/10/2024 07:00PM ET,ORL,31.22
C,Isaiah Hartenstein (36959834),Isaiah Hartenstein,36959834,C/UTIL,7100,DAL@OKC 12/10/2024 09:30PM ET,OKC,38.56
PF,PJ Washington (36959836),PJ Washington,36959836,PF/F/UTIL,6600,DAL@OKC 12/10/2024 09:30PM ET,DAL,32.29
SG/SF,Khris Middleton (36959839),Khris Middleton,36959839,SG/SF/F/G/UTIL,5900,ORL@MIL 12/10/2024 07:00PM ET,MIL,25.62
SF/PF,Naji Marshall (36959844),Naji Marshall,36959844,SF/PF/F/UTIL,5600,DAL@OKC 12/10/2024 09:30PM ET,DAL,21.09
PF/C,Bobby Portis (36959848),Bobby Portis,36959848,PF/C/F/UTIL,5600,ORL@MIL 12/10/2024 07:00PM ET,MIL,26.90
C,Brook Lopez (36959852),Brook Lopez,36959852,C/UTIL,5500,ORL@MIL 12/10/2024 07:00PM ET,MIL,27
C,Goga Bitadze (36959854),Goga Bitadze,36959854,C/UTIL,5400,ORL@MIL 12/10/2024 07:00PM ET,ORL,25.13
PF/C,Wendell Carter Jr. (36959856),Wendell Carter Jr.,36959856,PF/C/F/UTIL,5200,ORL@MIL 12/10/2024 07:00PM ET,ORL,23
C,Dereck Lively II (36959860),Dereck Lively II,36959860,C/UTIL,5100,DAL@OKC 12/10/2024 09:30PM ET,DAL,25.84
C,Moritz Wagner (36959862),Moritz Wagner,36959862,C/UTIL,5000,ORL@MIL 12/10/2024 07:00PM ET,ORL,23.80
C,Daniel Gafford (36959864),Daniel Gafford,36959864,C/UTIL,4900,DAL@OKC 12/10/2024 09:30PM ET,DAL,26.20
SG/SF,Klay Thompson (36959866),Klay Thompson,36959866,SG/SF/F/G/UTIL,4600,DAL@OKC 12/10/2024 09:30PM ET,DAL,22.92
SG/SF,Luguentz Dort (36959871),Luguentz Dort,36959871,SG/SF/F/G/UTIL,4400,DAL@OKC 12/10/2024 09:30PM ET,OKC,23.10
SG,Kentavious Caldwell-Pope (36959876),Kentavious Caldwell-Pope,36959876,SG/G/UTIL,4400,ORL@MIL 12/10/2024 07:00PM ET,ORL,18.41
PG/SG,Anthony Black (36959879),Anthony Black,36959879,PG/SG/G/UTIL,4300,ORL@MIL 12/10/2024 07:00PM ET,ORL,19.68
PG/SG,Cole Anthony (36959883),Cole Anthony,36959883,PG/SG/G/UTIL,4200,ORL@MIL 12/10/2024 07:00PM ET,ORL,11.42
PG,Spencer Dinwiddie (36959887),Spencer Dinwiddie,36959887,PG/G/UTIL,4100,DAL@OKC 12/10/2024 09:30PM ET,DAL,16.89
SG/SF,Quentin Grimes (36959890),Quentin Grimes,36959890,SG/SF/F/G/UTIL,4100,DAL@OKC 12/10/2024 09:30PM ET,DAL,17.42
PG/SG,Cason Wallace (36959895),Cason Wallace,36959895,PG/SG/G/UTIL,3900,DAL@OKC 12/10/2024 09:30PM ET,OKC,19.45
PG/SG,Jaden Hardy (36959899),Jaden Hardy,36959899,PG/SG/G/UTIL,3900,DAL@OKC 12/10/2024 09:30PM ET,DAL,11.16
PF/C,Jonathan Isaac (36959903),Jonathan Isaac,36959903,PF/C/F/UTIL,3900,ORL@MIL 12/10/2024 07:00PM ET,ORL,17.49
SG/SF,Gary Trent Jr. (36959907),Gary Trent Jr.,36959907,SG/SF/F/G/UTIL,3800,ORL@MIL 12/10/2024 07:00PM ET,MIL,16.02
SF/PF,Tristan da Silva (36959912),Tristan da Silva,36959912,SF/PF/F/UTIL,3800,ORL@MIL 12/10/2024 07:00PM ET,ORL,15.42
SG/SF,Alex Caruso (36959916),Alex Caruso,36959916,SG/SF/F/G/UTIL,3700,DAL@OKC 12/10/2024 09:30PM ET,OKC,17.83
SF/PF,Aaron Wiggins (36959929),Aaron Wiggins,36959929,SF/PF/F/UTIL,3500,DAL@OKC 12/10/2024 09:30PM ET,OKC,19.25
SF,Caleb Houstan (36959926),Caleb Houstan,36959926,SF/F/UTIL,3500,ORL@MIL 12/10/2024 07:00PM ET,ORL,2.39
SG/SF,Isaiah Joe (36959940),Isaiah Joe,36959940,SG/SF/F/G/UTIL,3400,DAL@OKC 12/10/2024 09:30PM ET,OKC,17.83
SF,Jett Howard (36959937),Jett Howard,36959937,SF/F/UTIL,3400,ORL@MIL 12/10/2024 07:00PM ET,ORL,7.40
SF/PF,Taurean Prince (36959945),Taurean Prince,36959945,SF/PF/F/UTIL,3400,ORL@MIL 12/10/2024 07:00PM ET,MIL,19.01
PF/C,Kenrich Williams (36959949),Kenrich Williams,36959949,PF/C/F/UTIL,3200,DAL@OKC 12/10/2024 09:30PM ET,OKC,12.5
SF/PF,Olivier-Maxence Prosper (36959957),Olivier-Maxence Prosper,36959957,SF/PF/F/UTIL,3200,DAL@OKC 12/10/2024 09:30PM ET,DAL,4.89
PG/SG,AJ Green (36959953),AJ Green,36959953,PG/SG/G/UTIL,3200,ORL@MIL 12/10/2024 07:00PM ET,MIL,14.07
PG,Ajay Mitchell (36959961),Ajay Mitchell,36959961,PG/G/UTIL,3100,DAL@OKC 12/10/2024 09:30PM ET,OKC,12.03
SG/SF,Andre Jackson Jr. (36959964),Andre Jackson Jr.,36959964,SG/SF/F/G/UTIL,3100,ORL@MIL 12/10/2024 07:00PM ET,MIL,11.08
C,Branden Carlson (36959998),Branden Carlson,36959998,C/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,OKC,5.25
PF,Dillon Jones (36960000),Dillon Jones,36960000,PF/F/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,OKC,6.72
PG,Adam Flagler (36960003),Adam Flagler,36960003,PG/G/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,OKC,2.64
PF/C,Markieff Morris (36960025),Markieff Morris,36960025,PF/C/F/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,DAL,5.25
PG,Jazian Gortman (36960029),Jazian Gortman,36960029,PG/G/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,DAL,2.35
C,Dwight Powell (36960032),Dwight Powell,36960032,C/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,DAL,6.81
PG,Brandon Williams (36960034),Brandon Williams,36960034,PG/G/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,DAL,2.6
SG/SF,Kessler Edwards (36960037),Kessler Edwards,36960037,SG/SF/F/G/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,DAL,-0.12
SF,Dante Exum (36960042),Dante Exum,36960042,SF/F/UTIL,3000,DAL@OKC 12/10/2024 09:30PM ET,DAL,0
SG,Stanley Umude (36959969),Stanley Umude,36959969,SG/G/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,MIL,1.79
PG,Delon Wright (36959972),Delon Wright,36959972,PG/G/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,MIL,9.51
SF/PF,Pat Connaughton (36959975),Pat Connaughton,36959975,SF/PF/F/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,MIL,12.42
PG,Ryan Rollins (36959979),Ryan Rollins,36959979,PG/G/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,MIL,7.25
C,Liam Robbins (36959982),Liam Robbins,36959982,C/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,MIL,1.75
SG,AJ Johnson (36959984),AJ Johnson,36959984,SG/G/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,MIL,2.1
PF,Tyler Smith (36959987),Tyler Smith,36959987,PF/F/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,MIL,3.75
SF,Chris Livingston (36959990),Chris Livingston,36959990,SF/F/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,MIL,2.5
PG,Cory Joseph (36960016),Cory Joseph,36960016,PG/G/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,ORL,3.79
PG,Mac McClung (36960019),Mac McClung,36960019,PG/G/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,ORL,4.25
PG,Trevelin Queen (36960022),Trevelin Queen,36960022,PG/G/UTIL,3000,ORL@MIL 12/10/2024 07:00PM ET,ORL,1.5
