Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Steven Adams (36791562),Steven Adams,36791562,C/UTIL,3000,HOU@MIN 11/26/2024 08:00PM ET,HOU,7.72
SF/PF,Brice Sensabaugh (36791447),Brice Sensabaugh,36791447,SF/PF/F/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,UTA,10.88
SG/SF,Malaki Branham (36791451),Malaki Branham,36791451,SG/SF/F/G/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,SAS,12.85
SG/SF,David Jones (36791515),David Jones,36791515,SG/SF/F/G/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,UTA,0
SG/SF,Svi Mykhailiuk (36791520),Svi Mykhailiuk,36791520,SG/SF/F/G/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,UTA,6.12
C,Oscar Tshiebwe (36791525),Oscar Tshiebwe,36791525,C/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,UTA,0
PG,Patty Mills (36791527),Patty Mills,36791527,PG/G/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,UTA,8.56
PF/C,Micah Potter (36791530),Micah Potter,36791530,PF/C/F/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,UTA,0
PF,Riley Minix (36791617),Riley Minix,36791617,PF/F/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,SAS,2.5
PG,Blake Wesley (36791620),Blake Wesley,36791620,PG/G/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,SAS,8.03
PF,Harrison Ingram (36791623),Harrison Ingram,36791623,PF/F/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,SAS,1.25
SG/SF,Sidy Cissoko (36791626),Sidy Cissoko,36791626,SG/SF/F/G/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,SAS,2.64
PG/SG,David Duke Jr. (36791631),David Duke Jr.,36791631,PG/SG/G/UTIL,3000,SAS@UTA 11/26/2024 09:00PM ET,SAS,6
PG,TyTy Washington Jr. (36791470),TyTy Washington Jr.,36791470,PG/G/UTIL,3000,LAL@PHX 11/26/2024 10:00PM ET,PHX,6.58
