Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (36929997),Nikola Jokic,36929997,C/UTIL,12100,DEN@WAS 12/07/2024 07:00PM ET,DEN,69.62
PG,Luka Doncic (36929999),Luka Doncic,36929999,PG/G/UTIL,11400,DAL@TOR 12/07/2024 07:30PM ET,DAL,55.76
PG,Shai Gilgeous-Alexander (36930002),Shai Gilgeous-Alexander,36930002,PG/G/UTIL,10200,OKC@NOP 12/07/2024 07:00PM ET,OKC,51.69
SF/PF,Jayson Tatum (36930005),Jayson Tatum,36930005,SF/PF/F/UTIL,9900,MEM@BOS 12/07/2024 08:00PM ET,BOS,52.78
PG,Cade Cunningham (36930018),Cade Cunningham,36930018,PG/G/UTIL,9600,DET@NYK 12/07/2024 07:30PM ET,DET,49.89
PG/SF,Scottie Barnes (36930013),Scottie Barnes,36930013,PG/SF/F/G/UTIL,9500,DAL@TOR 12/07/2024 07:30PM ET,TOR,46.94
PG/SG,Devin Booker (36930009),Devin Booker,36930009,PG/SG/G/UTIL,9400,PHX@MIA 12/07/2024 08:00PM ET,PHX,42.74
C,Karl-Anthony Towns (36930021),Karl-Anthony Towns,36930021,C/UTIL,9200,DET@NYK 12/07/2024 07:30PM ET,NYK,50.95
PF,Jalen Williams (36930023),Jalen Williams,36930023,PF/F/UTIL,8900,OKC@NOP 12/07/2024 07:00PM ET,OKC,42.84
PG,Ja Morant (36930026),Ja Morant,36930026,PG/G/UTIL,8800,MEM@BOS 12/07/2024 08:00PM ET,MEM,40.85
PG/SG,Kyrie Irving (36930036),Kyrie Irving,36930036,PG/SG/G/UTIL,8500,DAL@TOR 12/07/2024 07:30PM ET,DAL,41.40
PG,Jalen Brunson (36930040),Jalen Brunson,36930040,PG/G/UTIL,8500,DET@NYK 12/07/2024 07:30PM ET,NYK,41.86
SG/SF,Jaylen Brown (36930043),Jaylen Brown,36930043,SG/SF/F/G/UTIL,8400,MEM@BOS 12/07/2024 08:00PM ET,BOS,42.96
SF/PF,RJ Barrett (36930048),RJ Barrett,36930048,SF/PF/F/UTIL,8400,DAL@TOR 12/07/2024 07:30PM ET,TOR,42.85
SF/PF,Brandon Ingram (36930052),Brandon Ingram,36930052,SF/PF/F/UTIL,8300,OKC@NOP 12/07/2024 07:00PM ET,NOP,40.78
C,Bam Adebayo (36930056),Bam Adebayo,36930056,C/UTIL,8200,PHX@MIA 12/07/2024 08:00PM ET,MIA,40.76
PG,Dejounte Murray (36930061),Dejounte Murray,36930061,PG/G/UTIL,8000,OKC@NOP 12/07/2024 07:00PM ET,NOP,34.92
SG/SF,Bradley Beal (36930064),Bradley Beal,36930064,SG/SF/F/G/UTIL,7900,PHX@MIA 12/07/2024 08:00PM ET,PHX,32.12
PG/SG,Jamal Murray (36930069),Jamal Murray,36930069,PG/SG/G/UTIL,7800,DEN@WAS 12/07/2024 07:00PM ET,DEN,36.12
PG,Tyler Herro (36930073),Tyler Herro,36930073,PG/G/UTIL,7700,PHX@MIA 12/07/2024 08:00PM ET,MIA,40.62
SF/PF,Jimmy Butler (36930076),Jimmy Butler,36930076,SF/PF/F/UTIL,7600,PHX@MIA 12/07/2024 08:00PM ET,MIA,35.55
PG/SG,Jaden Ivey (36930080),Jaden Ivey,36930080,PG/SG/G/UTIL,7600,DET@NYK 12/07/2024 07:30PM ET,DET,31.48
C,Kristaps Porzingis (36930084),Kristaps Porzingis,36930084,C/UTIL,7500,MEM@BOS 12/07/2024 08:00PM ET,BOS,38.06
C,Isaiah Hartenstein (36930086),Isaiah Hartenstein,36930086,C/UTIL,7400,OKC@NOP 12/07/2024 07:00PM ET,OKC,38.86
C,Jakob Poeltl (36930088),Jakob Poeltl,36930088,C/UTIL,7300,DAL@TOR 12/07/2024 07:30PM ET,TOR,39.03
PF/C,Jaren Jackson Jr. (36930090),Jaren Jackson Jr.,36930090,PF/C/F/UTIL,7200,MEM@BOS 12/07/2024 08:00PM ET,MEM,36.75
PG/SG,CJ McCollum (36930094),CJ McCollum,36930094,PG/SG/G/UTIL,7100,OKC@NOP 12/07/2024 07:00PM ET,NOP,35.48
SF/PF,Josh Hart (36930098),Josh Hart,36930098,SF/PF/F/UTIL,7000,DET@NYK 12/07/2024 07:30PM ET,NYK,37.48
PG/SG,Derrick White (36930106),Derrick White,36930106,PG/SG/G/UTIL,6900,MEM@BOS 12/07/2024 08:00PM ET,BOS,36.11
SF/PF,Michael Porter Jr. (36930102),Michael Porter Jr.,36930102,SF/PF/F/UTIL,6900,DEN@WAS 12/07/2024 07:00PM ET,DEN,35.5
PG/SG,Jordan Poole (36930110),Jordan Poole,36930110,PG/SG/G/UTIL,6900,DEN@WAS 12/07/2024 07:00PM ET,WAS,34.42
PF,PJ Washington (36930117),PJ Washington,36930117,PF/F/UTIL,6800,DAL@TOR 12/07/2024 07:30PM ET,DAL,32.76
SG/SF,Desmond Bane (36930120),Desmond Bane,36930120,SG/SF/F/G/UTIL,6600,MEM@BOS 12/07/2024 08:00PM ET,MEM,31.12
SG/SF,Trey Murphy III (36930128),Trey Murphy III,36930128,SG/SF/F/G/UTIL,6400,OKC@NOP 12/07/2024 07:00PM ET,NOP,30
PF,Tobias Harris (36930135),Tobias Harris,36930135,PF/F/UTIL,6200,DET@NYK 12/07/2024 07:30PM ET,DET,30.11
PG,Tyus Jones (36930142),Tyus Jones,36930142,PG/G/UTIL,6000,PHX@MIA 12/07/2024 08:00PM ET,PHX,28.77
SF/PF,OG Anunoby (36930138),OG Anunoby,36930138,SF/PF/F/UTIL,6000,DET@NYK 12/07/2024 07:30PM ET,NYK,32.52
C,Jalen Duren (36930145),Jalen Duren,36930145,C/UTIL,5900,DET@NYK 12/07/2024 07:30PM ET,DET,26.70
PF,Aaron Gordon (36930147),Aaron Gordon,36930147,PF/F/UTIL,5800,DEN@WAS 12/07/2024 07:00PM ET,DEN,30.05
SG/SF,Mikal Bridges (36930150),Mikal Bridges,36930150,SG/SF/F/G/UTIL,5800,DET@NYK 12/07/2024 07:30PM ET,NYK,29.59
PG,Russell Westbrook (36930162),Russell Westbrook,36930162,PG/G/UTIL,5700,DEN@WAS 12/07/2024 07:00PM ET,DEN,29.04
PG/SG,Payton Pritchard (36930165),Payton Pritchard,36930165,PG/SG/G/UTIL,5600,MEM@BOS 12/07/2024 08:00PM ET,BOS,27.79
PF,Santi Aldama (36930169),Santi Aldama,36930169,PF/F/UTIL,5600,MEM@BOS 12/07/2024 08:00PM ET,MEM,30.85
PF/C,Alexandre Sarr (36930172),Alexandre Sarr,36930172,PF/C/F/UTIL,5600,DEN@WAS 12/07/2024 07:00PM ET,WAS,26.62
C,Kelly Olynyk (36930176),Kelly Olynyk,36930176,C/UTIL,5600,DAL@TOR 12/07/2024 07:30PM ET,TOR,0
SG/SF,Malik Beasley (36930182),Malik Beasley,36930182,SG/SF/F/G/UTIL,5600,DET@NYK 12/07/2024 07:30PM ET,DET,25.16
SG/SF,Christian Braun (36930189),Christian Braun,36930189,SG/SF/F/G/UTIL,5400,DEN@WAS 12/07/2024 07:00PM ET,DEN,28.19
C,Dereck Lively II (36930187),Dereck Lively II,36930187,C/UTIL,5400,DAL@TOR 12/07/2024 07:30PM ET,DAL,26.11
