Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (36902013),Nikola Jokic,36902013,C/UTIL,12000,DEN@CLE 12/05/2024 07:00PM ET,DEN,69.12
PG,Luka Doncic (36902015),Luka Doncic,36902015,PG/G/UTIL,11200,DAL@WAS 12/05/2024 07:00PM ET,DAL,55.59
PG,Shai Gilgeous-Alexander (36902020),Shai Gilgeous-Alexander,36902020,PG/G/UTIL,10100,OKC@TOR 12/05/2024 07:30PM ET,OKC,51.77
PG/SG,Devin Booker (36902026),Devin Booker,36902026,PG/SG/G/UTIL,9400,PHX@NOP 12/05/2024 08:00PM ET,PHX,42.98
C,Domantas Sabonis (36902030),Domantas Sabonis,36902030,C/UTIL,9300,SAC@MEM 12/05/2024 08:00PM ET,SAC,49.32
PG/SF,Scottie Barnes (36902032),Scottie Barnes,36902032,PG/SF/F/G/UTIL,9100,OKC@TOR 12/05/2024 07:30PM ET,TOR,47.25
PG,De'Aaron Fox (36902039),De'Aaron Fox,36902039,PG/G/UTIL,9000,SAC@MEM 12/05/2024 08:00PM ET,SAC,45.78
C,Karl-Anthony Towns (36902037),Karl-Anthony Towns,36902037,C/UTIL,9000,CHA@NYK 12/05/2024 07:30PM ET,NYK,50.72
PG/SG,Donovan Mitchell (36902042),Donovan Mitchell,36902042,PG/SG/G/UTIL,8800,DEN@CLE 12/05/2024 07:00PM ET,CLE,41.26
PF,Jalen Williams (36902046),Jalen Williams,36902046,PF/F/UTIL,8700,OKC@TOR 12/05/2024 07:30PM ET,OKC,43.32
PG,Ja Morant (36902049),Ja Morant,36902049,PG/G/UTIL,8700,SAC@MEM 12/05/2024 08:00PM ET,MEM,42.31
PG/SG,Kyrie Irving (36902052),Kyrie Irving,36902052,PG/SG/G/UTIL,8600,DAL@WAS 12/05/2024 07:00PM ET,DAL,41.52
C,Nikola Vucevic (36902067),Nikola Vucevic,36902067,C/UTIL,8500,CHI@SAS 12/05/2024 08:00PM ET,CHI,42.51
SG/SF,Brandon Ingram (36902062),Brandon Ingram,36902062,SG/SF/F/G/UTIL,8500,PHX@NOP 12/05/2024 08:00PM ET,NOP,40.38
SG/SF,Brandon Miller (36902069),Brandon Miller,36902069,SG/SF/F/G/UTIL,8500,CHA@NYK 12/05/2024 07:30PM ET,CHA,38.21
PG,Jalen Brunson (36902074),Jalen Brunson,36902074,PG/G/UTIL,8400,CHA@NYK 12/05/2024 07:30PM ET,NYK,42.08
SG/SF,Bradley Beal (36902081),Bradley Beal,36902081,SG/SF/F/G/UTIL,8300,PHX@NOP 12/05/2024 08:00PM ET,PHX,31.75
SF/PF,RJ Barrett (36902077),RJ Barrett,36902077,SF/PF/F/UTIL,8200,OKC@TOR 12/05/2024 07:30PM ET,TOR,43.14
PG,Dejounte Murray (36902089),Dejounte Murray,36902089,PG/G/UTIL,8100,PHX@NOP 12/05/2024 08:00PM ET,NOP,35.55
PG/SG,Jamal Murray (36902092),Jamal Murray,36902092,PG/SG/G/UTIL,8000,DEN@CLE 12/05/2024 07:00PM ET,DEN,36.19
PF/C,Evan Mobley (36902096),Evan Mobley,36902096,PF/C/F/UTIL,7800,DEN@CLE 12/05/2024 07:00PM ET,CLE,38.71
C,Isaiah Hartenstein (36902105),Isaiah Hartenstein,36902105,C/UTIL,7600,OKC@TOR 12/05/2024 07:30PM ET,OKC,39.5
SG/SF,Zach LaVine (36902100),Zach LaVine,36902100,SG/SF/F/G/UTIL,7600,CHI@SAS 12/05/2024 08:00PM ET,CHI,35.86
SF/PF,DeMar DeRozan (36902107),DeMar DeRozan,36902107,SF/PF/F/UTIL,7500,SAC@MEM 12/05/2024 08:00PM ET,SAC,38.09
PG,Darius Garland (36902117),Darius Garland,36902117,PG/G/UTIL,7400,DEN@CLE 12/05/2024 07:00PM ET,CLE,36.66
PF/C,Jaren Jackson Jr. (36902111),Jaren Jackson Jr.,36902111,PF/C/F/UTIL,7300,SAC@MEM 12/05/2024 08:00PM ET,MEM,37.46
