Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (36771782),Luka Doncic,36771782,PG/G/UTIL,11200,DAL@MIA 11/24/2024 06:00PM ET,DAL,53.34
C,Joel Embiid (36771785),Joel Embiid,36771785,C/UTIL,10000,LAC@PHI 11/24/2024 06:00PM ET,PHI,36.5
PG/SG,Kyrie Irving (36771787),Kyrie Irving,36771787,PG/SG/G/UTIL,9900,DAL@MIA 11/24/2024 06:00PM ET,DAL,40.95
C,Domantas Sabonis (36771791),Domantas Sabonis,36771791,C/UTIL,9600,BKN@SAC 11/24/2024 09:00PM ET,SAC,49
PG,James Harden (36771793),James Harden,36771793,PG/G/UTIL,9500,LAC@PHI 11/24/2024 06:00PM ET,LAC,48.19
PG,De'Aaron Fox (36771796),De'Aaron Fox,36771796,PG/G/UTIL,9400,BKN@SAC 11/24/2024 09:00PM ET,SAC,47.09
SF/PF,RJ Barrett (36771799),RJ Barrett,36771799,SF/PF/F/UTIL,9000,TOR@CLE 11/24/2024 07:30PM ET,TOR,43.73
PG/SG,Donovan Mitchell (36771803),Donovan Mitchell,36771803,PG/SG/G/UTIL,8900,TOR@CLE 11/24/2024 07:30PM ET,CLE,39.98
C,Bam Adebayo (36771807),Bam Adebayo,36771807,C/UTIL,8500,DAL@MIA 11/24/2024 06:00PM ET,MIA,40.33
C,Jakob Poeltl (36771809),Jakob Poeltl,36771809,C/UTIL,8300,TOR@CLE 11/24/2024 07:30PM ET,TOR,40.09
PG/SF,Scottie Barnes (36771811),Scottie Barnes,36771811,PG/SF/F/G/UTIL,8200,TOR@CLE 11/24/2024 07:30PM ET,TOR,39.6
PG,Tyrese Maxey (36771816),Tyrese Maxey,36771816,PG/G/UTIL,8100,LAC@PHI 11/24/2024 06:00PM ET,PHI,39.56
PF/C,Kawhi Leonard (36771819),Kawhi Leonard,36771819,PF/C/F/UTIL,8000,LAC@PHI 11/24/2024 06:00PM ET,LAC,0
PG/SG,Tyler Herro (36771823),Tyler Herro,36771823,PG/SG/G/UTIL,7900,DAL@MIA 11/24/2024 06:00PM ET,MIA,40.65
SF/PF,Paul George (36771827),Paul George,36771827,SF/PF/F/UTIL,7800,LAC@PHI 11/24/2024 06:00PM ET,PHI,33.28
PG,Darius Garland (36771831),Darius Garland,36771831,PG/G/UTIL,7700,TOR@CLE 11/24/2024 07:30PM ET,CLE,37.44
PF/C,Evan Mobley (36771834),Evan Mobley,36771834,PF/C/F/UTIL,7600,TOR@CLE 11/24/2024 07:30PM ET,CLE,37.20
SF/PF,DeMar DeRozan (36771838),DeMar DeRozan,36771838,SF/PF/F/UTIL,7500,BKN@SAC 11/24/2024 09:00PM ET,SAC,37.60
