Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Shai Gilgeous-Alexander (36827802),Shai Gilgeous-Alexander,36827802,PG/G/UTIL,10700,OKC@LAL 11/29/2024 10:00PM ET,OKC,51.07
C,Anthony Davis (36827805),Anthony Davis,36827805,C/UTIL,10400,OKC@LAL 11/29/2024 10:00PM ET,LAL,55.15
SF/PF,Jayson Tatum (36827807),Jayson Tatum,36827807,SF/PF/F/UTIL,10000,BOS@CHI 11/29/2024 08:00PM ET,BOS,52.47
PF/C,LeBron James (36827811),LeBron James,36827811,PF/C/F/UTIL,9900,OKC@LAL 11/29/2024 10:00PM ET,LAL,50.47
PG,Cade Cunningham (36827815),Cade Cunningham,36827815,PG/G/UTIL,9800,DET@IND 11/29/2024 08:00PM ET,DET,49.66
C,Domantas Sabonis (36827818),Domantas Sabonis,36827818,C/UTIL,9700,SAC@POR 11/29/2024 10:00PM ET,SAC,48.94
SF/PF,Franz Wagner (36827820),Franz Wagner,36827820,SF/PF/F/UTIL,9600,ORL@BKN 11/29/2024 07:30PM ET,ORL,43.08
PG/SG,Anthony Edwards (36827826),Anthony Edwards,36827826,PG/SG/G/UTIL,9300,LAC@MIN 11/29/2024 07:30PM ET,MIN,45.28
PG,James Harden (36827836),James Harden,36827836,PG/G/UTIL,9200,LAC@MIN 11/29/2024 07:30PM ET,LAC,48.29
PF,Jalen Williams (36827830),Jalen Williams,36827830,PF/F/UTIL,9200,OKC@LAL 11/29/2024 10:00PM ET,OKC,43.97
PG,De'Aaron Fox (36827833),De'Aaron Fox,36827833,PG/G/UTIL,9200,SAC@POR 11/29/2024 10:00PM ET,SAC,46.03
PG,Tyrese Haliburton (36827844),Tyrese Haliburton,36827844,PG/G/UTIL,8500,DET@IND 11/29/2024 08:00PM ET,IND,40.13
PG/SF,Scottie Barnes (36827839),Scottie Barnes,36827839,PG/SF/F/G/UTIL,8500,TOR@MIA 11/29/2024 08:00PM ET,TOR,44.16
SF/PF,RJ Barrett (36827847),RJ Barrett,36827847,SF/PF/F/UTIL,8300,TOR@MIA 11/29/2024 08:00PM ET,TOR,42.36
C,Bam Adebayo (36827851),Bam Adebayo,36827851,C/UTIL,8300,TOR@MIA 11/29/2024 08:00PM ET,MIA,39.86
C,Nikola Vucevic (36827853),Nikola Vucevic,36827853,C/UTIL,8200,BOS@CHI 11/29/2024 08:00PM ET,CHI,41.82
PF,Chet Holmgren (36827855),Chet Holmgren,36827855,PF/F/UTIL,8200,OKC@LAL 11/29/2024 10:00PM ET,OKC,37.22
PF/C,Kawhi Leonard (36827867),Kawhi Leonard,36827867,PF/C/F/UTIL,8000,LAC@MIN 11/29/2024 07:30PM ET,LAC,0
SF/PF,Jimmy Butler (36827863),Jimmy Butler,36827863,SF/PF/F/UTIL,8000,TOR@MIA 11/29/2024 08:00PM ET,MIA,34.94
SG/SF,Jaylen Brown (36827858),Jaylen Brown,36827858,SG/SF/F/G/UTIL,8000,BOS@CHI 11/29/2024 08:00PM ET,BOS,43.34
PF/C,Julius Randle (36827871),Julius Randle,36827871,PF/C/F/UTIL,7900,LAC@MIN 11/29/2024 07:30PM ET,MIN,37.49
PG/SG,Tyler Herro (36827875),Tyler Herro,36827875,PG/SG/G/UTIL,7800,TOR@MIA 11/29/2024 08:00PM ET,MIA,40.64
C,Jakob Poeltl (36827879),Jakob Poeltl,36827879,C/UTIL,7800,TOR@MIA 11/29/2024 08:00PM ET,TOR,38.66
SG/SF,Zach LaVine (36827885),Zach LaVine,36827885,SG/SF/F/G/UTIL,7800,BOS@CHI 11/29/2024 08:00PM ET,CHI,36.47
SF/PF,DeMar DeRozan (36827881),DeMar DeRozan,36827881,SF/PF/F/UTIL,7800,SAC@POR 11/29/2024 10:00PM ET,SAC,37.5
C,Kristaps Porzingis (36827890),Kristaps Porzingis,36827890,C/UTIL,7500,BOS@CHI 11/29/2024 08:00PM ET,BOS,32.5
SG/SF,Cam Thomas (36827898),Cam Thomas,36827898,SG/SF/F/G/UTIL,7200,ORL@BKN 11/29/2024 07:30PM ET,BKN,35.34
PF,Pascal Siakam (36827892),Pascal Siakam,36827892,PF/F/UTIL,7200,DET@IND 11/29/2024 08:00PM ET,IND,37.46
PG,Immanuel Quickley (36827895),Immanuel Quickley,36827895,PG/G/UTIL,7200,TOR@MIA 11/29/2024 08:00PM ET,TOR,25.5
PG/SG,Jaden Ivey (36827903),Jaden Ivey,36827903,PG/SG/G/UTIL,7000,DET@IND 11/29/2024 08:00PM ET,DET,32.40
PG/SG,Coby White (36827907),Coby White,36827907,PG/SG/G/UTIL,6900,BOS@CHI 11/29/2024 08:00PM ET,CHI,33.32
PG/SG,Dennis Schroder (36827917),Dennis Schroder,36827917,PG/SG/G/UTIL,6800,ORL@BKN 11/29/2024 07:30PM ET,BKN,35.21
SF/PF,Cameron Johnson (36827926),Cameron Johnson,36827926,SF/PF/F/UTIL,6800,ORL@BKN 11/29/2024 07:30PM ET,BKN,31.41
C,Ivica Zubac (36827924),Ivica Zubac,36827924,C/UTIL,6800,LAC@MIN 11/29/2024 07:30PM ET,LAC,38.26
PG/SG,Derrick White (36827911),Derrick White,36827911,PG/SG/G/UTIL,6800,BOS@CHI 11/29/2024 08:00PM ET,BOS,35.86
C,Isaiah Hartenstein (36827915),Isaiah Hartenstein,36827915,C/UTIL,6800,OKC@LAL 11/29/2024 10:00PM ET,OKC,40.33
PF,Keegan Murray (36827921),Keegan Murray,36827921,PF/F/UTIL,6800,SAC@POR 11/29/2024 10:00PM ET,SAC,29.07
SG/SF,Norman Powell (36827930),Norman Powell,36827930,SG/SF/F/G/UTIL,6600,LAC@MIN 11/29/2024 07:30PM ET,LAC,34.23
C,Deandre Ayton (36827935),Deandre Ayton,36827935,C/UTIL,6600,SAC@POR 11/29/2024 10:00PM ET,POR,32.12
PG,Jalen Suggs (36827941),Jalen Suggs,36827941,PG/G/UTIL,6500,ORL@BKN 11/29/2024 07:30PM ET,ORL,31.29
C,Rudy Gobert (36827939),Rudy Gobert,36827939,C/UTIL,6500,LAC@MIN 11/29/2024 07:30PM ET,MIN,31.08
C,Myles Turner (36827937),Myles Turner,36827937,C/UTIL,6500,DET@IND 11/29/2024 08:00PM ET,IND,33.54
PG,Josh Giddey (36827944),Josh Giddey,36827944,PG/G/UTIL,6500,BOS@CHI 11/29/2024 08:00PM ET,CHI,31.2
PF,Tobias Harris (36827947),Tobias Harris,36827947,PF/F/UTIL,6400,DET@IND 11/29/2024 08:00PM ET,DET,29.92
PG/SG,Austin Reaves (36827950),Austin Reaves,36827950,PG/SG/G/UTIL,6400,OKC@LAL 11/29/2024 10:00PM ET,LAL,31.75
SG/SF,Bennedict Mathurin (36827954),Bennedict Mathurin,36827954,SG/SF/F/G/UTIL,6300,DET@IND 11/29/2024 08:00PM ET,IND,32.41
C,Jalen Duren (36827964),Jalen Duren,36827964,C/UTIL,6100,DET@IND 11/29/2024 08:00PM ET,DET,27.74
SG/SF,Kevin Huerter (36827959),Kevin Huerter,36827959,SG/SF/F/G/UTIL,6100,SAC@POR 11/29/2024 10:00PM ET,SAC,20.48
PG/SG,Shaedon Sharpe (36827966),Shaedon Sharpe,36827966,PG/SG/G/UTIL,6100,SAC@POR 11/29/2024 10:00PM ET,POR,27.11
PG/SG,Anfernee Simons (36827970),Anfernee Simons,36827970,PG/SG/G/UTIL,6100,SAC@POR 11/29/2024 10:00PM ET,POR,27.16
SG,Gradey Dick (36827974),Gradey Dick,36827974,SG/G/UTIL,6000,TOR@MIA 11/29/2024 08:00PM ET,TOR,27.91
C,Nic Claxton (36827979),Nic Claxton,36827979,C/UTIL,5800,ORL@BKN 11/29/2024 07:30PM ET,BKN,25.35
C,Kelly Olynyk (36827977),Kelly Olynyk,36827977,C/UTIL,5800,TOR@MIA 11/29/2024 08:00PM ET,TOR,0
SG/SF,Luguentz Dort (36827981),Luguentz Dort,36827981,SG/SF/F/G/UTIL,5800,OKC@LAL 11/29/2024 10:00PM ET,OKC,23.35
PF,Jerami Grant (36827986),Jerami Grant,36827986,PF/F/UTIL,5700,SAC@POR 11/29/2024 10:00PM ET,POR,27.93
SG/SF,Malik Beasley (36827989),Malik Beasley,36827989,SG/SF/F/G/UTIL,5600,DET@IND 11/29/2024 08:00PM ET,DET,24.56
PG,Terry Rozier (36827994),Terry Rozier,36827994,PG/G/UTIL,5500,TOR@MIA 11/29/2024 08:00PM ET,MIA,24.82
C,Goga Bitadze (36828005),Goga Bitadze,36828005,C/UTIL,5400,ORL@BKN 11/29/2024 07:30PM ET,ORL,23
PG/SG,Ayo Dosunmu (36828001),Ayo Dosunmu,36828001,PG/SG/G/UTIL,5400,BOS@CHI 11/29/2024 08:00PM ET,CHI,24.5
PG/SG,Malik Monk (36827997),Malik Monk,36827997,PG/SG/G/UTIL,5400,SAC@POR 11/29/2024 10:00PM ET,SAC,25.90
PG,Ben Simmons (36828010),Ben Simmons,36828010,PG/G/UTIL,5300,ORL@BKN 11/29/2024 07:30PM ET,BKN,24.70
SF,Deni Avdija (36828007),Deni Avdija,36828007,SF/F/UTIL,5300,SAC@POR 11/29/2024 10:00PM ET,POR,26.78
PF/C,Robert Williams (36828013),Robert Williams,36828013,PF/C/F/UTIL,5300,SAC@POR 11/29/2024 10:00PM ET,POR,24.79
C,Donovan Clingan (36828017),Donovan Clingan,36828017,C/UTIL,5200,SAC@POR 11/29/2024 10:00PM ET,POR,19.74
PG/SG,Donte DiVincenzo (36828019),Donte DiVincenzo,36828019,PG/SG/G/UTIL,5100,LAC@MIN 11/29/2024 07:30PM ET,MIN,20.81
C,Wendell Carter Jr. (36828025),Wendell Carter Jr.,36828025,C/UTIL,5000,ORL@BKN 11/29/2024 07:30PM ET,ORL,24.61
SF,Jaden McDaniels (36828030),Jaden McDaniels,36828030,SF/F/UTIL,5000,LAC@MIN 11/29/2024 07:30PM ET,MIN,21.61
PG,Jrue Holiday (36828027),Jrue Holiday,36828027,PG/G/UTIL,5000,BOS@CHI 11/29/2024 08:00PM ET,BOS,25.22
C,Trey Lyles (36828023),Trey Lyles,36828023,C/UTIL,5000,SAC@POR 11/29/2024 10:00PM ET,SAC,14.54
SG/SF,Toumani Camara (36828033),Toumani Camara,36828033,SG/SF/F/G/UTIL,5000,SAC@POR 11/29/2024 10:00PM ET,POR,22.67
SG/SF,Ziaire Williams (36828038),Ziaire Williams,36828038,SG/SF/F/G/UTIL,4900,ORL@BKN 11/29/2024 07:30PM ET,BKN,19.24
PG,Scoot Henderson (36828043),Scoot Henderson,36828043,PG/G/UTIL,4900,SAC@POR 11/29/2024 10:00PM ET,POR,24.53
C,Moritz Wagner (36828050),Moritz Wagner,36828050,C/UTIL,4800,ORL@BKN 11/29/2024 07:30PM ET,ORL,22.54
PG,T.J. McConnell (36828052),T.J. McConnell,36828052,PG/G/UTIL,4800,DET@IND 11/29/2024 08:00PM ET,IND,21.67
SG/SF,Bruce Brown (36828055),Bruce Brown,36828055,SG/SF/F/G/UTIL,4800,TOR@MIA 11/29/2024 08:00PM ET,TOR,0
PG/SG,Payton Pritchard (36828046),Payton Pritchard,36828046,PG/SG/G/UTIL,4800,BOS@CHI 11/29/2024 08:00PM ET,BOS,26.03
PG/SG,Anthony Black (36828064),Anthony Black,36828064,PG/SG/G/UTIL,4700,ORL@BKN 11/29/2024 07:30PM ET,ORL,21.31
PF/C,Naz Reid (36828060),Naz Reid,36828060,PF/C/F/UTIL,4700,LAC@MIN 11/29/2024 07:30PM ET,MIN,25.28
SG,Andrew Nembhard (36828071),Andrew Nembhard,36828071,SG/G/UTIL,4700,DET@IND 11/29/2024 08:00PM ET,IND,18.07
PF,Ochai Agbaji (36828068),Ochai Agbaji,36828068,PF/F/UTIL,4700,TOR@MIA 11/29/2024 08:00PM ET,TOR,24.80
PF/C,Al Horford (36828074),Al Horford,36828074,PF/C/F/UTIL,4700,BOS@CHI 11/29/2024 08:00PM ET,BOS,24.75
SF/PF,Rui Hachimura (36828078),Rui Hachimura,36828078,SF/PF/F/UTIL,4700,OKC@LAL 11/29/2024 10:00PM ET,LAL,24.25
PF,Dorian Finney-Smith (36828089),Dorian Finney-Smith,36828089,PF/F/UTIL,4600,ORL@BKN 11/29/2024 07:30PM ET,BKN,22.27
PG,Mike Conley (36828082),Mike Conley,36828082,PG/G/UTIL,4600,LAC@MIN 11/29/2024 07:30PM ET,MIN,23.18
SF/PF,Ausar Thompson (36828095),Ausar Thompson,36828095,SF/PF/F/UTIL,4600,DET@IND 11/29/2024 08:00PM ET,DET,15.12
SG,Duncan Robinson (36828092),Duncan Robinson,36828092,SG/G/UTIL,4600,TOR@MIA 11/29/2024 08:00PM ET,MIA,19
PG/SG,Dalano Banton (36828085),Dalano Banton,36828085,PG/SG/G/UTIL,4600,SAC@POR 11/29/2024 10:00PM ET,POR,19.12
SF,Jalen Wilson (36828108),Jalen Wilson,36828108,SF/F/UTIL,4500,ORL@BKN 11/29/2024 07:30PM ET,BKN,17.5
SF/PF,Jaime Jaquez Jr. (36828104),Jaime Jaquez Jr.,36828104,SF/PF/F/UTIL,4500,TOR@MIA 11/29/2024 08:00PM ET,MIA,20.42
SG/SF,Dalton Knecht (36828099),Dalton Knecht,36828099,SG/SF/F/G/UTIL,4500,OKC@LAL 11/29/2024 10:00PM ET,LAL,19.14
SF/PF,Aaron Wiggins (36828118),Aaron Wiggins,36828118,SF/PF/F/UTIL,4500,OKC@LAL 11/29/2024 10:00PM ET,OKC,18.71
PG/SG,Keon Ellis (36828114),Keon Ellis,36828114,PG/SG/G/UTIL,4500,SAC@POR 11/29/2024 10:00PM ET,SAC,15.46
PG/SG,Davion Mitchell (36828125),Davion Mitchell,36828125,PG/SG/G/UTIL,4400,TOR@MIA 11/29/2024 08:00PM ET,TOR,20.25
PG,D'Angelo Russell (36828122),D'Angelo Russell,36828122,PG/G/UTIL,4400,OKC@LAL 11/29/2024 10:00PM ET,LAL,24.25
PG,Kevin Porter Jr. (36828129),Kevin Porter Jr.,36828129,PG/G/UTIL,4300,LAC@MIN 11/29/2024 07:30PM ET,LAC,18.01
PG/SF,Ben Sheppard (36828132),Ben Sheppard,36828132,PG/SF/F/G/UTIL,4300,DET@IND 11/29/2024 08:00PM ET,IND,12.44
SG/SF,Isaiah Joe (36828137),Isaiah Joe,36828137,SG/SF/F/G/UTIL,4300,OKC@LAL 11/29/2024 10:00PM ET,OKC,18.77
C,Jaxson Hayes (36828142),Jaxson Hayes,36828142,C/UTIL,4300,OKC@LAL 11/29/2024 10:00PM ET,LAL,15.27
PF/C,Jabari Walker (36828144),Jabari Walker,36828144,PF/C/F/UTIL,4300,SAC@POR 11/29/2024 10:00PM ET,POR,7.84
PF/C,Jonathan Isaac (36828148),Jonathan Isaac,36828148,PF/C/F/UTIL,4200,ORL@BKN 11/29/2024 07:30PM ET,ORL,18.13
PG/SG,Kris Dunn (36828157),Kris Dunn,36828157,PG/SG/G/UTIL,4200,LAC@MIN 11/29/2024 07:30PM ET,LAC,19.29
