Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (36893519),Giannis Antetokounmpo,36893519,PF/C/F/UTIL,12100,ATL@MIL 12/04/2024 08:00PM ET,MIL,61.22
C,Anthony Davis (36893523),Anthony Davis,36893523,C/UTIL,10500,LAL@MIA 12/04/2024 07:30PM ET,LAL,53.98
SF/PF,Franz Wagner (36893531),Franz Wagner,36893531,SF/PF/F/UTIL,9800,ORL@PHI 12/04/2024 07:30PM ET,ORL,43.98
PG,Cade Cunningham (36893535),Cade Cunningham,36893535,PG/G/UTIL,9700,DET@BOS 12/04/2024 07:30PM ET,DET,49.29
PG,Damian Lillard (36893538),Damian Lillard,36893538,PG/G/UTIL,9600,ATL@MIL 12/04/2024 08:00PM ET,MIL,46.18
PF/C,LeBron James (36893541),LeBron James,36893541,PF/C/F/UTIL,9500,LAL@MIA 12/04/2024 07:30PM ET,LAL,48.49
PG,James Harden (36893545),James Harden,36893545,PG/G/UTIL,9400,MIN@LAC 12/04/2024 10:30PM ET,LAC,49.03
PG/SG,Anthony Edwards (36893550),Anthony Edwards,36893550,PG/SG/G/UTIL,9100,MIN@LAC 12/04/2024 10:30PM ET,MIN,43.69
PG,Tyrese Maxey (36893554),Tyrese Maxey,36893554,PG/G/UTIL,8900,ORL@PHI 12/04/2024 07:30PM ET,PHI,42.06
PG,Trae Young (36893557),Trae Young,36893557,PG/G/UTIL,8800,ATL@MIL 12/04/2024 08:00PM ET,ATL,46.89
PF,Jalen Johnson (36893560),Jalen Johnson,36893560,PF/F/UTIL,8400,ATL@MIL 12/04/2024 08:00PM ET,ATL,45.46
SG/SF,Jaylen Brown (36893566),Jaylen Brown,36893566,SG/SF/F/G/UTIL,8200,DET@BOS 12/04/2024 07:30PM ET,BOS,42.72
PG,Tyrese Haliburton (36893563),Tyrese Haliburton,36893563,PG/G/UTIL,8200,IND@BKN 12/04/2024 07:30PM ET,IND,39.10
C,Bam Adebayo (36893571),Bam Adebayo,36893571,C/UTIL,8000,LAL@MIA 12/04/2024 07:30PM ET,MIA,40.72
PG/SG,Jaden Ivey (36893577),Jaden Ivey,36893577,PG/SG/G/UTIL,7900,DET@BOS 12/04/2024 07:30PM ET,DET,32.11
PF,Pascal Siakam (36893581),Pascal Siakam,36893581,PF/F/UTIL,7800,IND@BKN 12/04/2024 07:30PM ET,IND,36.66
