Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (36971163),Karl-Anthony Towns,36971163,C/UTIL,9700,ATL@NYK 12/11/2024 07:00PM ET,NYK,51.40
PG,Stephen Curry (36971165),Stephen Curry,36971165,PG/G/UTIL,9500,GSW@HOU 12/11/2024 09:30PM ET,GSW,43.43
PG,Trae Young (36971168),Trae Young,36971168,PG/G/UTIL,9400,ATL@NYK 12/11/2024 07:00PM ET,ATL,47.05
C,Alperen Sengun (36971171),Alperen Sengun,36971171,C/UTIL,9200,GSW@HOU 12/11/2024 09:30PM ET,HOU,44.67
PG,Jalen Brunson (36971173),Jalen Brunson,36971173,PG/G/UTIL,8500,ATL@NYK 12/11/2024 07:00PM ET,NYK,42.42
PF,Jalen Johnson (36971176),Jalen Johnson,36971176,PF/F/UTIL,8300,ATL@NYK 12/11/2024 07:00PM ET,ATL,45.37
PG,Fred VanVleet (36971179),Fred VanVleet,36971179,PG/G/UTIL,7300,GSW@HOU 12/11/2024 09:30PM ET,HOU,34.80
SF/PF,Josh Hart (36971182),Josh Hart,36971182,SF/PF/F/UTIL,7100,ATL@NYK 12/11/2024 07:00PM ET,NYK,36.58
SG,Dyson Daniels (36971186),Dyson Daniels,36971186,SG/G/UTIL,6800,ATL@NYK 12/11/2024 07:00PM ET,ATL,32.68
PF/C,Draymond Green (36971189),Draymond Green,36971189,PF/C/F/UTIL,6700,GSW@HOU 12/11/2024 09:30PM ET,GSW,29.45
SF/PF,Andrew Wiggins (36971193),Andrew Wiggins,36971193,SF/PF/F/UTIL,6600,GSW@HOU 12/11/2024 09:30PM ET,GSW,30.08
SG,Jalen Green (36971197),Jalen Green,36971197,SG/G/UTIL,6500,GSW@HOU 12/11/2024 09:30PM ET,HOU,32.16
SG/SF,Amen Thompson (36971200),Amen Thompson,36971200,SG/SF/F/G/UTIL,6300,GSW@HOU 12/11/2024 09:30PM ET,HOU,27.38
SF/PF,OG Anunoby (36971205),OG Anunoby,36971205,SF/PF/F/UTIL,6200,ATL@NYK 12/11/2024 07:00PM ET,NYK,32.73
SG/SF,Mikal Bridges (36971209),Mikal Bridges,36971209,SG/SF/F/G/UTIL,6000,ATL@NYK 12/11/2024 07:00PM ET,NYK,30.06
SF/PF,De'Andre Hunter (36971214),De'Andre Hunter,36971214,SF/PF/F/UTIL,5800,ATL@NYK 12/11/2024 07:00PM ET,ATL,28.93
C,Clint Capela (36971218),Clint Capela,36971218,C/UTIL,5700,ATL@NYK 12/11/2024 07:00PM ET,ATL,26.97
PF,Jonathan Kuminga (36971220),Jonathan Kuminga,36971220,PF/F/UTIL,5400,GSW@HOU 12/11/2024 09:30PM ET,GSW,26.25
PF/C,Jabari Smith Jr. (36971223),Jabari Smith Jr.,36971223,PF/C/F/UTIL,5300,GSW@HOU 12/11/2024 09:30PM ET,HOU,24.80
SF/PF,Tari Eason (36971227),Tari Eason,36971227,SF/PF/F/UTIL,5200,GSW@HOU 12/11/2024 09:30PM ET,HOU,27.43
