Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (36873056),Giannis Antetokounmpo,36873056,PF/C/F/UTIL,12000,MIL@DET 12/03/2024 07:00PM ET,MIL,62.02
PG,Luka Doncic (36873060),Luka Doncic,36873060,PG/G/UTIL,11000,MEM@DAL 12/03/2024 08:30PM ET,DAL,54.6
C,Victor Wembanyama (36873063),Victor Wembanyama,36873063,C/UTIL,10600,SAS@PHX 12/03/2024 09:00PM ET,SAS,52.44
PG,Shai Gilgeous-Alexander (36873065),Shai Gilgeous-Alexander,36873065,PG/G/UTIL,10300,UTA@OKC 12/03/2024 08:00PM ET,OKC,51.81
PG,Cade Cunningham (36873073),Cade Cunningham,36873073,PG/G/UTIL,9700,MIL@DET 12/03/2024 07:00PM ET,DET,49.82
SF/PF,Franz Wagner (36873076),Franz Wagner,36873076,SF/PF/F/UTIL,9600,ORL@NYK 12/03/2024 07:30PM ET,ORL,43.81
PG,Damian Lillard (36873080),Damian Lillard,36873080,PG/G/UTIL,9500,MIL@DET 12/03/2024 07:00PM ET,MIL,46.53
C,Karl-Anthony Towns (36873085),Karl-Anthony Towns,36873085,C/UTIL,9200,ORL@NYK 12/03/2024 07:30PM ET,NYK,50.99
PG/SG,Donovan Mitchell (36873087),Donovan Mitchell,36873087,PG/SG/G/UTIL,9100,WAS@CLE 12/03/2024 07:00PM ET,CLE,41.16
PG/SG,Kyrie Irving (36873091),Kyrie Irving,36873091,PG/SG/G/UTIL,9000,MEM@DAL 12/03/2024 08:30PM ET,DAL,42.63
PG/SG,Devin Booker (36873095),Devin Booker,36873095,PG/SG/G/UTIL,8900,SAS@PHX 12/03/2024 09:00PM ET,PHX,42.43
PF,Jalen Williams (36873099),Jalen Williams,36873099,PF/F/UTIL,8800,UTA@OKC 12/03/2024 08:00PM ET,OKC,43.26
PG,Ja Morant (36873102),Ja Morant,36873102,PG/G/UTIL,8700,MEM@DAL 12/03/2024 08:30PM ET,MEM,42.16
PF/C,Kevin Durant (36873105),Kevin Durant,36873105,PF/C/F/UTIL,8600,SAS@PHX 12/03/2024 09:00PM ET,PHX,44.40
PG,Jalen Brunson (36873109),Jalen Brunson,36873109,PG/G/UTIL,8500,ORL@NYK 12/03/2024 07:30PM ET,NYK,42.76
PG,Tyrese Haliburton (36873112),Tyrese Haliburton,36873112,PG/G/UTIL,8400,IND@TOR 12/03/2024 07:30PM ET,IND,38.75
PG/SF,Scottie Barnes (36873115),Scottie Barnes,36873115,PG/SF/F/G/UTIL,8300,IND@TOR 12/03/2024 07:30PM ET,TOR,46.18
PG,Tyrese Maxey (36873120),Tyrese Maxey,36873120,PG/G/UTIL,8200,PHI@CHA 12/03/2024 07:00PM ET,PHI,42.12
SG/SF,Brandon Miller (36873126),Brandon Miller,36873126,SG/SF/F/G/UTIL,8000,PHI@CHA 12/03/2024 07:00PM ET,CHA,37.92
SF/PF,RJ Barrett (36873131),RJ Barrett,36873131,SF/PF/F/UTIL,7900,IND@TOR 12/03/2024 07:30PM ET,TOR,42.97
PF/C,Evan Mobley (36873135),Evan Mobley,36873135,PF/C/F/UTIL,7800,WAS@CLE 12/03/2024 07:00PM ET,CLE,38.68
PG/SG,Jaden Ivey (36873139),Jaden Ivey,36873139,PG/SG/G/UTIL,7800,MIL@DET 12/03/2024 07:00PM ET,DET,32.56
PF,Jaren Jackson Jr. (36873143),Jaren Jackson Jr.,36873143,PF/F/UTIL,7700,MEM@DAL 12/03/2024 08:30PM ET,MEM,37.79
SG/SF,Bradley Beal (36873146),Bradley Beal,36873146,SG/SF/F/G/UTIL,7700,SAS@PHX 12/03/2024 09:00PM ET,PHX,32.07
PF,Pascal Siakam (36873151),Pascal Siakam,36873151,PF/F/UTIL,7600,IND@TOR 12/03/2024 07:30PM ET,IND,37.07
SF/PF,Paul George (36873154),Paul George,36873154,SF/PF/F/UTIL,7500,PHI@CHA 12/03/2024 07:00PM ET,PHI,32.86
PG,Darius Garland (36873158),Darius Garland,36873158,PG/G/UTIL,7500,WAS@CLE 12/03/2024 07:00PM ET,CLE,37.56
PF/C,John Collins (36873161),John Collins,36873161,PF/C/F/UTIL,7400,UTA@OKC 12/03/2024 08:00PM ET,UTA,36.76
C,Isaiah Hartenstein (36873165),Isaiah Hartenstein,36873165,C/UTIL,7300,UTA@OKC 12/03/2024 08:00PM ET,OKC,42.55
SG/SF,Desmond Bane (36873167),Desmond Bane,36873167,SG/SF/F/G/UTIL,7300,MEM@DAL 12/03/2024 08:30PM ET,MEM,30.48
C,Jakob Poeltl (36873176),Jakob Poeltl,36873176,C/UTIL,7200,IND@TOR 12/03/2024 07:30PM ET,TOR,38.92
SF/PF,Lauri Markkanen (36873172),Lauri Markkanen,36873172,SF/PF/F/UTIL,7200,UTA@OKC 12/03/2024 08:00PM ET,UTA,33.73
SG/SF,Bennedict Mathurin (36873185),Bennedict Mathurin,36873185,SG/SF/F/G/UTIL,7000,IND@TOR 12/03/2024 07:30PM ET,IND,31.79
PF,PJ Washington (36873178),PJ Washington,36873178,PF/F/UTIL,7000,MEM@DAL 12/03/2024 08:30PM ET,DAL,32.41
