Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (36861974),Nikola Jokic,36861974,C/UTIL,12200,DEN@LAC 12/01/2024 10:00PM ET,DEN,68.89
PG,Luka Doncic (36861976),Luka Doncic,36861976,PG/G/UTIL,11000,DAL@POR 12/01/2024 09:00PM ET,DAL,53.34
C,Anthony Davis (36861979),Anthony Davis,36861979,C/UTIL,10700,LAL@UTA 12/01/2024 08:00PM ET,LAL,54.94
PG,Shai Gilgeous-Alexander (36861983),Shai Gilgeous-Alexander,36861983,PG/G/UTIL,10600,OKC@HOU 12/01/2024 07:00PM ET,OKC,51.70
C,Victor Wembanyama (36861981),Victor Wembanyama,36861981,C/UTIL,10400,SAS@SAC 12/01/2024 09:00PM ET,SAS,50.69
PF/C,LeBron James (36861986),LeBron James,36861986,PF/C/F/UTIL,9800,LAL@UTA 12/01/2024 08:00PM ET,LAL,49.32
C,Domantas Sabonis (36861990),Domantas Sabonis,36861990,C/UTIL,9700,SAS@SAC 12/01/2024 09:00PM ET,SAC,49.67
PG/SG,Kyrie Irving (36861992),Kyrie Irving,36861992,PG/SG/G/UTIL,9500,DAL@POR 12/01/2024 09:00PM ET,DAL,42.63
PG,De'Aaron Fox (36861996),De'Aaron Fox,36861996,PG/G/UTIL,9400,SAS@SAC 12/01/2024 09:00PM ET,SAC,45.41
PG,James Harden (36861999),James Harden,36861999,PG/G/UTIL,9200,DEN@LAC 12/01/2024 10:00PM ET,LAC,48.61
PF,Jalen Williams (36862002),Jalen Williams,36862002,PF/F/UTIL,9000,OKC@HOU 12/01/2024 07:00PM ET,OKC,43.26
C,Alperen Sengun (36862005),Alperen Sengun,36862005,C/UTIL,8600,OKC@HOU 12/01/2024 07:00PM ET,HOU,45.25
PG/SG,Jamal Murray (36862007),Jamal Murray,36862007,PG/SG/G/UTIL,8300,DEN@LAC 12/01/2024 10:00PM ET,DEN,36.77
PF,Chet Holmgren (36862011),Chet Holmgren,36862011,PF/F/UTIL,8200,OKC@HOU 12/01/2024 07:00PM ET,OKC,37.22
PF/C,Kawhi Leonard (36862014),Kawhi Leonard,36862014,PF/C/F/UTIL,8000,DEN@LAC 12/01/2024 10:00PM ET,LAC,0
SF/PF,DeMar DeRozan (36862018),DeMar DeRozan,36862018,SF/PF/F/UTIL,7800,SAS@SAC 12/01/2024 09:00PM ET,SAC,37.5
SF/PF,Michael Porter Jr. (36862022),Michael Porter Jr.,36862022,SF/PF/F/UTIL,7600,DEN@LAC 12/01/2024 10:00PM ET,DEN,35.37
SF/PF,Lauri Markkanen (36862026),Lauri Markkanen,36862026,SF/PF/F/UTIL,7400,LAL@UTA 12/01/2024 08:00PM ET,UTA,33.27
PF/C,John Collins (36862030),John Collins,36862030,PF/C/F/UTIL,7200,LAL@UTA 12/01/2024 08:00PM ET,UTA,36.57
PF,PJ Washington (36862034),PJ Washington,36862034,PF/F/UTIL,7100,DAL@POR 12/01/2024 09:00PM ET,DAL,32.62
C,Isaiah Hartenstein (36862037),Isaiah Hartenstein,36862037,C/UTIL,7000,OKC@HOU 12/01/2024 07:00PM ET,OKC,41.62
PG,Fred VanVleet (36862039),Fred VanVleet,36862039,PG/G/UTIL,7000,OKC@HOU 12/01/2024 07:00PM ET,HOU,35.21
C,Ivica Zubac (36862042),Ivica Zubac,36862042,C/UTIL,6900,DEN@LAC 12/01/2024 10:00PM ET,LAC,38.19
C,Deandre Ayton (36862044),Deandre Ayton,36862044,C/UTIL,6800,DAL@POR 12/01/2024 09:00PM ET,POR,33.02
PG/SG,Collin Sexton (36862046),Collin Sexton,36862046,PG/SG/G/UTIL,6700,LAL@UTA 12/01/2024 08:00PM ET,UTA,26.16
SG/SF,Norman Powell (36862050),Norman Powell,36862050,SG/SF/F/G/UTIL,6600,DEN@LAC 12/01/2024 10:00PM ET,LAC,34.23
SF,Aaron Gordon (36862055),Aaron Gordon,36862055,SF/F/UTIL,6500,DEN@LAC 12/01/2024 10:00PM ET,DEN,31.18
C,Walker Kessler (36862061),Walker Kessler,36862061,C/UTIL,6400,LAL@UTA 12/01/2024 08:00PM ET,UTA,32.56
SG,Jalen Green (36862058),Jalen Green,36862058,SG/G/UTIL,6400,OKC@HOU 12/01/2024 07:00PM ET,HOU,32.02
C,Jeremy Sochan (36862063),Jeremy Sochan,36862063,C/UTIL,6400,SAS@SAC 12/01/2024 09:00PM ET,SAS,31.93
PF,Keegan Murray (36862065),Keegan Murray,36862065,PF/F/UTIL,6400,SAS@SAC 12/01/2024 09:00PM ET,SAC,28.34
PG,Russell Westbrook (36862071),Russell Westbrook,36862071,PG/G/UTIL,6300,DEN@LAC 12/01/2024 10:00PM ET,DEN,30.12
PG,Anfernee Simons (36862068),Anfernee Simons,36862068,PG/G/UTIL,6300,DAL@POR 12/01/2024 09:00PM ET,POR,28.16
PG/SG,Austin Reaves (36862078),Austin Reaves,36862078,PG/SG/G/UTIL,6200,LAL@UTA 12/01/2024 08:00PM ET,LAL,31.12
PG/SG,Malik Monk (36862074),Malik Monk,36862074,PG/SG/G/UTIL,6200,SAS@SAC 12/01/2024 09:00PM ET,SAC,27.88
PG,Chris Paul (36862082),Chris Paul,36862082,PG/G/UTIL,6100,SAS@SAC 12/01/2024 09:00PM ET,SAS,31.05
PG,Keyonte George (36862085),Keyonte George,36862085,PG/G/UTIL,6000,LAL@UTA 12/01/2024 08:00PM ET,UTA,29.29
SG/SF,Christian Braun (36862092),Christian Braun,36862092,SG/SF/F/G/UTIL,5900,DEN@LAC 12/01/2024 10:00PM ET,DEN,29.18
PG/SG,Shaedon Sharpe (36862088),Shaedon Sharpe,36862088,PG/SG/G/UTIL,5900,DAL@POR 12/01/2024 09:00PM ET,POR,27.02
C,Daniel Gafford (36862097),Daniel Gafford,36862097,C/UTIL,5900,DAL@POR 12/01/2024 09:00PM ET,DAL,26.28
SF,Deni Avdija (36862099),Deni Avdija,36862099,SF/F/UTIL,5800,DAL@POR 12/01/2024 09:00PM ET,POR,27.78
SG/SF,Amen Thompson (36862102),Amen Thompson,36862102,SG/SF/F/G/UTIL,5700,OKC@HOU 12/01/2024 07:00PM ET,HOU,28.11
PF,Jerami Grant (36862111),Jerami Grant,36862111,PF/F/UTIL,5700,DAL@POR 12/01/2024 09:00PM ET,POR,27.93
SF/PF,Naji Marshall (36862107),Naji Marshall,36862107,SF/PF/F/UTIL,5600,DAL@POR 12/01/2024 09:00PM ET,DAL,21.09
SG/SF,Luguentz Dort (36862116),Luguentz Dort,36862116,SG/SF/F/G/UTIL,5500,OKC@HOU 12/01/2024 07:00PM ET,OKC,23.25
SF/PF,Tari Eason (36862121),Tari Eason,36862121,SF/PF/F/UTIL,5500,OKC@HOU 12/01/2024 07:00PM ET,HOU,27.21
SG/SF,Kevin Huerter (36862125),Kevin Huerter,36862125,SG/SF/F/G/UTIL,5500,SAS@SAC 12/01/2024 09:00PM ET,SAC,19.68
C,Dereck Lively II (36862114),Dereck Lively II,36862114,C/UTIL,5500,DAL@POR 12/01/2024 09:00PM ET,DAL,25.31
SG,Jordan Clarkson (36862130),Jordan Clarkson,36862130,SG/G/UTIL,5400,LAL@UTA 12/01/2024 08:00PM ET,UTA,27.27
SG/SF,Klay Thompson (36862133),Klay Thompson,36862133,SG/SF/F/G/UTIL,5400,DAL@POR 12/01/2024 09:00PM ET,DAL,23.57
SG,Stephon Castle (36862138),Stephon Castle,36862138,SG/G/UTIL,5300,SAS@SAC 12/01/2024 09:00PM ET,SAS,22.82
PF/C,Robert Williams (36862141),Robert Williams,36862141,PF/C/F/UTIL,5300,DAL@POR 12/01/2024 09:00PM ET,POR,24.79
SG,Devin Vassell (36862147),Devin Vassell,36862147,SG/G/UTIL,5200,SAS@SAC 12/01/2024 09:00PM ET,SAS,24.9
C,Donovan Clingan (36862145),Donovan Clingan,36862145,C/UTIL,5200,DAL@POR 12/01/2024 09:00PM ET,POR,19.74
SF/PF,Keldon Johnson (36862153),Keldon Johnson,36862153,SF/PF/F/UTIL,5100,SAS@SAC 12/01/2024 09:00PM ET,SAS,23.67
PF,Peyton Watson (36862150),Peyton Watson,36862150,PF/F/UTIL,5100,DEN@LAC 12/01/2024 10:00PM ET,DEN,19.46
C,Trey Lyles (36862157),Trey Lyles,36862157,C/UTIL,5000,SAS@SAC 12/01/2024 09:00PM ET,SAC,14.54
PF/C,Jabari Smith Jr. (36862162),Jabari Smith Jr.,36862162,PF/C/F/UTIL,4900,OKC@HOU 12/01/2024 07:00PM ET,HOU,23.84
PG,Scoot Henderson (36862159),Scoot Henderson,36862159,PG/G/UTIL,4900,DAL@POR 12/01/2024 09:00PM ET,POR,24.53
SG/SF,Dalton Knecht (36862166),Dalton Knecht,36862166,SG/SF/F/G/UTIL,4800,LAL@UTA 12/01/2024 08:00PM ET,LAL,20.05
C,Zach Collins (36862171),Zach Collins,36862171,C/UTIL,4800,SAS@SAC 12/01/2024 09:00PM ET,SAS,15.80
SF/PF,Julian Champagnie (36862177),Julian Champagnie,36862177,SF/PF/F/UTIL,4700,SAS@SAC 12/01/2024 09:00PM ET,SAS,24.14
