Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Anthony Davis (36938419),Anthony Davis,36938419,C/UTIL,10600,POR@LAL 12/08/2024 09:30PM ET,LAL,53.31
C,Victor Wembanyama (36938421),Victor Wembanyama,36938421,C/UTIL,10300,NOP@SAS 12/08/2024 07:00PM ET,SAS,52.07
PF,LeBron James (36938423),LeBron James,36938423,PF/F/UTIL,9900,POR@LAL 12/08/2024 09:30PM ET,LAL,49.96
PG,James Harden (36938426),James Harden,36938426,PG/G/UTIL,9700,HOU@LAC 12/08/2024 09:00PM ET,LAC,47.48
C,Domantas Sabonis (36938429),Domantas Sabonis,36938429,C/UTIL,9600,UTA@SAC 12/08/2024 09:00PM ET,SAC,49.01
PG,Stephen Curry (36938431),Stephen Curry,36938431,PG/G/UTIL,9500,MIN@GSW 12/08/2024 08:30PM ET,GSW,43.04
C,Alperen Sengun (36938434),Alperen Sengun,36938434,C/UTIL,9100,HOU@LAC 12/08/2024 09:00PM ET,HOU,45.22
PG/SG,Anthony Edwards (36938436),Anthony Edwards,36938436,PG/SG/G/UTIL,9000,MIN@GSW 12/08/2024 08:30PM ET,MIN,43.94
PG,De'Aaron Fox (36938440),De'Aaron Fox,36938440,PG/G/UTIL,8900,UTA@SAC 12/08/2024 09:00PM ET,SAC,45.34
PG,Ja Morant (36938446),Ja Morant,36938446,PG/G/UTIL,8600,MEM@WAS 12/08/2024 07:00PM ET,MEM,42.30
PG,Dejounte Murray (36938457),Dejounte Murray,36938457,PG/G/UTIL,7900,NOP@SAS 12/08/2024 07:00PM ET,NOP,37.39
SF/PF,DeMar DeRozan (36938460),DeMar DeRozan,36938460,SF/PF/F/UTIL,7800,UTA@SAC 12/08/2024 09:00PM ET,SAC,37.45
PF/C,Julius Randle (36938464),Julius Randle,36938464,PF/C/F/UTIL,7700,MIN@GSW 12/08/2024 08:30PM ET,MIN,36.69
PF/C,John Collins (36938468),John Collins,36938468,PF/C/F/UTIL,7600,UTA@SAC 12/08/2024 09:00PM ET,UTA,35.86
C,Ivica Zubac (36938472),Ivica Zubac,36938472,C/UTIL,7500,HOU@LAC 12/08/2024 09:00PM ET,LAC,36.19
PG/SG,Malik Monk (36938474),Malik Monk,36938474,PG/SG/G/UTIL,7400,UTA@SAC 12/08/2024 09:00PM ET,SAC,30.81
PF/C,Jaren Jackson Jr. (36938481),Jaren Jackson Jr.,36938481,PF/C/F/UTIL,7300,MEM@WAS 12/08/2024 07:00PM ET,MEM,37.59
PG,Fred VanVleet (36938478),Fred VanVleet,36938478,PG/G/UTIL,7300,HOU@LAC 12/08/2024 09:00PM ET,HOU,34.80
PG/SG,CJ McCollum (36938485),CJ McCollum,36938485,PG/SG/G/UTIL,7200,NOP@SAS 12/08/2024 07:00PM ET,NOP,35.54
SF/PF,Lauri Markkanen (36938489),Lauri Markkanen,36938489,SF/PF/F/UTIL,7200,UTA@SAC 12/08/2024 09:00PM ET,UTA,33.16
PG/SG,Jordan Poole (36938493),Jordan Poole,36938493,PG/SG/G/UTIL,7100,MEM@WAS 12/08/2024 07:00PM ET,WAS,35.70
C,Deandre Ayton (36938497),Deandre Ayton,36938497,C/UTIL,7100,POR@LAL 12/08/2024 09:30PM ET,POR,31.27
PG,Anfernee Simons (36938499),Anfernee Simons,36938499,PG/G/UTIL,7000,POR@LAL 12/08/2024 09:30PM ET,POR,28.41
PF/C,Draymond Green (36938502),Draymond Green,36938502,PF/C/F/UTIL,6900,MIN@GSW 12/08/2024 08:30PM ET,GSW,29.7
C,Rudy Gobert (36938508),Rudy Gobert,36938508,C/UTIL,6800,MIN@GSW 12/08/2024 08:30PM ET,MIN,31.82
SG/SF,Desmond Bane (36938514),Desmond Bane,36938514,SG/SF/F/G/UTIL,6700,MEM@WAS 12/08/2024 07:00PM ET,MEM,30.91
C,Walker Kessler (36938506),Walker Kessler,36938506,C/UTIL,6700,UTA@SAC 12/08/2024 09:00PM ET,UTA,33.81
PG,Chris Paul (36938519),Chris Paul,36938519,PG/G/UTIL,6600,NOP@SAS 12/08/2024 07:00PM ET,SAS,31.83
SG,Jalen Green (36938525),Jalen Green,36938525,SG/G/UTIL,6500,HOU@LAC 12/08/2024 09:00PM ET,HOU,31.79
PG/SG,Austin Reaves (36938528),Austin Reaves,36938528,PG/SG/G/UTIL,6500,POR@LAL 12/08/2024 09:30PM ET,LAL,31.12
PF,Jeremy Sochan (36938532),Jeremy Sochan,36938532,PF/F/UTIL,6400,NOP@SAS 12/08/2024 07:00PM ET,SAS,32.28
SG/SF,Trey Murphy III (36938535),Trey Murphy III,36938535,SG/SF/F/G/UTIL,6300,NOP@SAS 12/08/2024 07:00PM ET,NOP,30.48
PG/SG,Collin Sexton (36938540),Collin Sexton,36938540,PG/SG/G/UTIL,6200,UTA@SAC 12/08/2024 09:00PM ET,UTA,26.41
PG,Keyonte George (36938549),Keyonte George,36938549,PG/G/UTIL,6100,UTA@SAC 12/08/2024 09:00PM ET,UTA,29
SG/SF,Norman Powell (36938544),Norman Powell,36938544,SG/SF/F/G/UTIL,6100,HOU@LAC 12/08/2024 09:00PM ET,LAC,34.74
SG/SF,Amen Thompson (36938552),Amen Thompson,36938552,SG/SF/F/G/UTIL,6000,HOU@LAC 12/08/2024 09:00PM ET,HOU,26.78
PG/SG,Shaedon Sharpe (36938557),Shaedon Sharpe,36938557,PG/SG/G/UTIL,6000,POR@LAL 12/08/2024 09:30PM ET,POR,26.72
SF/PF,Deni Avdija (36938565),Deni Avdija,36938565,SF/PF/F/UTIL,6000,POR@LAL 12/08/2024 09:30PM ET,POR,27.33
SF/PF,Keegan Murray (36938561),Keegan Murray,36938561,SF/PF/F/UTIL,5900,UTA@SAC 12/08/2024 09:00PM ET,SAC,28.34
PG,D'Angelo Russell (36938579),D'Angelo Russell,36938579,PG/G/UTIL,5900,POR@LAL 12/08/2024 09:30PM ET,LAL,24.64
PF,Jerami Grant (36938573),Jerami Grant,36938573,PF/F/UTIL,5800,POR@LAL 12/08/2024 09:30PM ET,POR,28.44
PF/C,Jabari Smith Jr. (36938582),Jabari Smith Jr.,36938582,PF/C/F/UTIL,5500,HOU@LAC 12/08/2024 09:00PM ET,HOU,24.36
PF,Santi Aldama (36938589),Santi Aldama,36938589,PF/F/UTIL,5400,MEM@WAS 12/08/2024 07:00PM ET,MEM,30.33
C,Jonas Valanciunas (36938596),Jonas Valanciunas,36938596,C/UTIL,5300,MEM@WAS 12/08/2024 07:00PM ET,WAS,27.40
SG,Devin Vassell (36938598),Devin Vassell,36938598,SG/G/UTIL,5300,NOP@SAS 12/08/2024 07:00PM ET,SAS,27.47
SF,Bilal Coulibaly (36938607),Bilal Coulibaly,36938607,SF/F/UTIL,5200,MEM@WAS 12/08/2024 07:00PM ET,WAS,26.88
PF,Jonathan Kuminga (36938614),Jonathan Kuminga,36938614,PF/F/UTIL,5200,MIN@GSW 12/08/2024 08:30PM ET,GSW,25.52
PG/SG,Stephon Castle (36938601),Stephon Castle,36938601,PG/SG/G/UTIL,5200,NOP@SAS 12/08/2024 07:00PM ET,SAS,22.98
C,Yves Missi (36938605),Yves Missi,36938605,C/UTIL,5200,NOP@SAS 12/08/2024 07:00PM ET,NOP,24.30
PG/SG,Brandin Podziemski (36938626),Brandin Podziemski,36938626,PG/SG/G/UTIL,5100,MIN@GSW 12/08/2024 08:30PM ET,GSW,21.42
SF,Julian Champagnie (36938621),Julian Champagnie,36938621,SF/F/UTIL,5100,NOP@SAS 12/08/2024 07:00PM ET,SAS,24.99
SG/SF,Kevin Huerter (36938633),Kevin Huerter,36938633,SG/SF/F/G/UTIL,5100,UTA@SAC 12/08/2024 09:00PM ET,SAC,19.95
PG/SG,Carlton Carrington (36938642),Carlton Carrington,36938642,PG/SG/G/UTIL,5000,MEM@WAS 12/08/2024 07:00PM ET,WAS,23.01
SF/PF,Rui Hachimura (36938638),Rui Hachimura,36938638,SF/PF/F/UTIL,5000,POR@LAL 12/08/2024 09:30PM ET,LAL,24.74
PG,Mike Conley (36938648),Mike Conley,36938648,PG/G/UTIL,4900,MIN@GSW 12/08/2024 08:30PM ET,MIN,23.36
SF/PF,Herbert Jones (36938654),Herbert Jones,36938654,SF/PF/F/UTIL,4900,NOP@SAS 12/08/2024 07:00PM ET,NOP,22.38
PG,Scoot Henderson (36938651),Scoot Henderson,36938651,PG/G/UTIL,4900,POR@LAL 12/08/2024 09:30PM ET,POR,24.53
SG/SF,Dalton Knecht (36938658),Dalton Knecht,36938658,SG/SF/F/G/UTIL,4900,POR@LAL 12/08/2024 09:30PM ET,LAL,19.18
PF/C,Naz Reid (36938663),Naz Reid,36938663,PF/C/F/UTIL,4800,MIN@GSW 12/08/2024 08:30PM ET,MIN,25.34
SF/PF,Keldon Johnson (36938667),Keldon Johnson,36938667,SF/PF/F/UTIL,4800,NOP@SAS 12/08/2024 07:00PM ET,SAS,24.26
PG/SF,Brandon Boston Jr. (36938671),Brandon Boston Jr.,36938671,PG/SF/F/G/UTIL,4800,NOP@SAS 12/08/2024 07:00PM ET,NOP,25.12
PG/SG,Jordan Hawkins (36938676),Jordan Hawkins,36938676,PG/SG/G/UTIL,4700,NOP@SAS 12/08/2024 07:00PM ET,NOP,21.41
SG/SF,Toumani Camara (36938680),Toumani Camara,36938680,SG/SF/F/G/UTIL,4700,POR@LAL 12/08/2024 09:30PM ET,POR,22.04
C,Zach Edey (36938685),Zach Edey,36938685,C/UTIL,4600,MEM@WAS 12/08/2024 07:00PM ET,MEM,24.30
C,Zach Collins (36938687),Zach Collins,36938687,C/UTIL,4600,NOP@SAS 12/08/2024 07:00PM ET,SAS,14.73
SG/SF,Corey Kispert (36938693),Corey Kispert,36938693,SG/SF/F/G/UTIL,4500,MEM@WAS 12/08/2024 07:00PM ET,WAS,19.33
SG,Buddy Hield (36938698),Buddy Hield,36938698,SG/G/UTIL,4500,MIN@GSW 12/08/2024 08:30PM ET,GSW,23.31
PG/SG,Dalano Banton (36938689),Dalano Banton,36938689,PG/SG/G/UTIL,4500,POR@LAL 12/08/2024 09:30PM ET,POR,20.36
PG/SG,Marcus Smart (36938701),Marcus Smart,36938701,PG/SG/G/UTIL,4400,MEM@WAS 12/08/2024 07:00PM ET,MEM,22.52
