Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (36854935),Giannis Antetokounmpo,36854935,PF/C/F/UTIL,12000,WAS@MIL 11/30/2024 08:00PM ET,MIL,61.02
PG,Luka Doncic (36854939),Luka Doncic,36854939,PG/G/UTIL,11000,DAL@UTA 11/30/2024 09:30PM ET,DAL,53.34
PG,Cade Cunningham (36854944),Cade Cunningham,36854944,PG/G/UTIL,9800,PHI@DET 11/30/2024 07:00PM ET,DET,49.82
PG/SG,Kyrie Irving (36854947),Kyrie Irving,36854947,PG/SG/G/UTIL,9700,DAL@UTA 11/30/2024 09:30PM ET,DAL,41.57
PG,Damian Lillard (36854951),Damian Lillard,36854951,PG/G/UTIL,9500,WAS@MIL 11/30/2024 08:00PM ET,MIL,45.82
PG,Stephen Curry (36854954),Stephen Curry,36854954,PG/G/UTIL,9500,GSW@PHX 11/30/2024 09:00PM ET,GSW,43.62
PG/SG,Devin Booker (36854957),Devin Booker,36854957,PG/SG/G/UTIL,9200,GSW@PHX 11/30/2024 09:00PM ET,PHX,42.06
PF/C,Kevin Durant (36854961),Kevin Durant,36854961,PF/C/F/UTIL,8700,GSW@PHX 11/30/2024 09:00PM ET,PHX,44.30
PG,Tyrese Maxey (36854965),Tyrese Maxey,36854965,PG/G/UTIL,8000,PHI@DET 11/30/2024 07:00PM ET,PHI,41.64
SG/SF,Bradley Beal (36854968),Bradley Beal,36854968,SG/SF/F/G/UTIL,7800,GSW@PHX 11/30/2024 09:00PM ET,PHX,32.07
SF/PF,Paul George (36854973),Paul George,36854973,SF/PF/F/UTIL,7700,PHI@DET 11/30/2024 07:00PM ET,PHI,33.28
PG/SG,Jaden Ivey (36854977),Jaden Ivey,36854977,PG/SG/G/UTIL,7600,PHI@DET 11/30/2024 07:00PM ET,DET,32.79
SF/PF,Lauri Markkanen (36854981),Lauri Markkanen,36854981,SF/PF/F/UTIL,7400,DAL@UTA 11/30/2024 09:30PM ET,UTA,33.55
PG/SG,Jared McCain (36854985),Jared McCain,36854985,PG/SG/G/UTIL,7300,PHI@DET 11/30/2024 07:00PM ET,PHI,25.37
PF/C,John Collins (36854989),John Collins,36854989,PF/C/F/UTIL,7200,DAL@UTA 11/30/2024 09:30PM ET,UTA,36.74
PF,PJ Washington (36854993),PJ Washington,36854993,PF/F/UTIL,7000,DAL@UTA 11/30/2024 09:30PM ET,DAL,32.29
PF/C,Draymond Green (36854996),Draymond Green,36854996,PF/C/F/UTIL,6900,GSW@PHX 11/30/2024 09:00PM ET,GSW,29.29
PG/SG,Collin Sexton (36855000),Collin Sexton,36855000,PG/SG/G/UTIL,6800,DAL@UTA 11/30/2024 09:30PM ET,UTA,26.47
PG/SG,Jordan Poole (36855004),Jordan Poole,36855004,PG/SG/G/UTIL,6700,WAS@MIL 11/30/2024 08:00PM ET,WAS,34.67
