Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (36912533),Giannis Antetokounmpo,36912533,PF/C/F/UTIL,12000,MIL@BOS 12/06/2024 07:30PM ET,MIL,60.83
C,Victor Wembanyama (36912537),Victor Wembanyama,36912537,C/UTIL,10500,SAC@SAS 12/06/2024 08:00PM ET,SAS,52.07
C,Anthony Davis (36912539),Anthony Davis,36912539,C/UTIL,10200,LAL@ATL 12/06/2024 07:30PM ET,LAL,52.66
SF/PF,Jayson Tatum (36912541),Jayson Tatum,36912541,SF/PF/F/UTIL,10000,MIL@BOS 12/06/2024 07:30PM ET,BOS,52.58
PG,Stephen Curry (36912547),Stephen Curry,36912547,PG/G/UTIL,9700,MIN@GSW 12/06/2024 10:00PM ET,GSW,43.77
PF,LeBron James (36912550),LeBron James,36912550,PF/F/UTIL,9600,LAL@ATL 12/06/2024 07:30PM ET,LAL,48.43
SF/PF,Franz Wagner (36912553),Franz Wagner,36912553,SF/PF/F/UTIL,9500,ORL@PHI 12/06/2024 07:00PM ET,ORL,44.12
PG,Damian Lillard (36912557),Damian Lillard,36912557,PG/G/UTIL,9400,MIL@BOS 12/06/2024 07:30PM ET,MIL,45.81
C,Domantas Sabonis (36912560),Domantas Sabonis,36912560,C/UTIL,9300,SAC@SAS 12/06/2024 08:00PM ET,SAC,49.01
PG,Trae Young (36912564),Trae Young,36912564,PG/G/UTIL,9100,LAL@ATL 12/06/2024 07:30PM ET,ATL,46.15
PG,De'Aaron Fox (36912567),De'Aaron Fox,36912567,PG/G/UTIL,9000,SAC@SAS 12/06/2024 08:00PM ET,SAC,45.53
PG/SG,Anthony Edwards (36912570),Anthony Edwards,36912570,PG/SG/G/UTIL,8900,MIN@GSW 12/06/2024 10:00PM ET,MIN,43.44
PG,Tyrese Maxey (36912574),Tyrese Maxey,36912574,PG/G/UTIL,8800,ORL@PHI 12/06/2024 07:00PM ET,PHI,41.34
SG/SF,Jaylen Brown (36912577),Jaylen Brown,36912577,SG/SF/F/G/UTIL,8600,MIL@BOS 12/06/2024 07:30PM ET,BOS,43.35
PF,Jalen Johnson (36912582),Jalen Johnson,36912582,PF/F/UTIL,8500,LAL@ATL 12/06/2024 07:30PM ET,ATL,45.80
C,Nikola Vucevic (36912585),Nikola Vucevic,36912585,C/UTIL,8400,IND@CHI 12/06/2024 08:00PM ET,CHI,43.18
PG,Tyrese Haliburton (36912587),Tyrese Haliburton,36912587,PG/G/UTIL,8300,IND@CHI 12/06/2024 08:00PM ET,IND,39.13
PF,Pascal Siakam (36912590),Pascal Siakam,36912590,PF/F/UTIL,7800,IND@CHI 12/06/2024 08:00PM ET,IND,36.17
SG/SF,Zach LaVine (36912593),Zach LaVine,36912593,SG/SF/F/G/UTIL,7700,IND@CHI 12/06/2024 08:00PM ET,CHI,35.8
SF/PF,Paul George (36912598),Paul George,36912598,SF/PF/F/UTIL,7600,ORL@PHI 12/06/2024 07:00PM ET,PHI,34.72
SF/PF,DeMar DeRozan (36912604),DeMar DeRozan,36912604,SF/PF/F/UTIL,7400,SAC@SAS 12/06/2024 08:00PM ET,SAC,37.79
PF/C,Julius Randle (36912608),Julius Randle,36912608,PF/C/F/UTIL,7300,MIN@GSW 12/06/2024 10:00PM ET,MIN,36.79
PF/C,John Collins (36912612),John Collins,36912612,PF/C/F/UTIL,7200,UTA@POR 12/06/2024 10:00PM ET,UTA,36.19
PG/SG,Derrick White (36912616),Derrick White,36912616,PG/SG/G/UTIL,7100,MIL@BOS 12/06/2024 07:30PM ET,BOS,36.45
PG/SG,Malik Monk (36912624),Malik Monk,36912624,PG/SG/G/UTIL,7000,SAC@SAS 12/06/2024 08:00PM ET,SAC,30.09
SF/PF,Lauri Markkanen (36912620),Lauri Markkanen,36912620,SF/PF/F/UTIL,7000,UTA@POR 12/06/2024 10:00PM ET,UTA,33.16
PG/SG,Coby White (36912628),Coby White,36912628,PG/SG/G/UTIL,6900,IND@CHI 12/06/2024 08:00PM ET,CHI,32.88
PF/C,Draymond Green (36912632),Draymond Green,36912632,PF/C/F/UTIL,6900,MIN@GSW 12/06/2024 10:00PM ET,GSW,29.38
SG/SF,Bennedict Mathurin (36912636),Bennedict Mathurin,36912636,SG/SF/F/G/UTIL,6800,IND@CHI 12/06/2024 08:00PM ET,IND,30.90
C,Deandre Ayton (36912641),Deandre Ayton,36912641,C/UTIL,6800,UTA@POR 12/06/2024 10:00PM ET,POR,32.28
C,Myles Turner (36912647),Myles Turner,36912647,C/UTIL,6700,IND@CHI 12/06/2024 08:00PM ET,IND,32.75
PG,Josh Giddey (36912649),Josh Giddey,36912649,PG/G/UTIL,6700,IND@CHI 12/06/2024 08:00PM ET,CHI,31.88
PG/SG,Jared McCain (36912643),Jared McCain,36912643,PG/SG/G/UTIL,6700,ORL@PHI 12/06/2024 07:00PM ET,PHI,25.24
SG,Khris Middleton (36912652),Khris Middleton,36912652,SG/G/UTIL,6600,MIL@BOS 12/06/2024 07:30PM ET,MIL,0
C,Rudy Gobert (36912655),Rudy Gobert,36912655,C/UTIL,6600,MIN@GSW 12/06/2024 10:00PM ET,MIN,31.70
SF/PF,Andrew Wiggins (36912660),Andrew Wiggins,36912660,SF/PF/F/UTIL,6600,MIN@GSW 12/06/2024 10:00PM ET,GSW,30.87
PG,Anfernee Simons (36912657),Anfernee Simons,36912657,PG/G/UTIL,6600,UTA@POR 12/06/2024 10:00PM ET,POR,28.40
PG,Jalen Suggs (36912664),Jalen Suggs,36912664,PG/G/UTIL,6500,ORL@PHI 12/06/2024 07:00PM ET,ORL,30.88
PG/SG,Dyson Daniels (36912673),Dyson Daniels,36912673,PG/SG/G/UTIL,6300,LAL@ATL 12/06/2024 07:30PM ET,ATL,32.23
C,Walker Kessler (36912671),Walker Kessler,36912671,C/UTIL,6300,UTA@POR 12/06/2024 10:00PM ET,UTA,32.88
C,Brook Lopez (36912684),Brook Lopez,36912684,C/UTIL,6200,MIL@BOS 12/06/2024 07:30PM ET,MIL,28.76
PG,Chris Paul (36912677),Chris Paul,36912677,PG/G/UTIL,6200,SAC@SAS 12/06/2024 08:00PM ET,SAS,31.32
PG/SG,Collin Sexton (36912680),Collin Sexton,36912680,PG/SG/G/UTIL,6200,UTA@POR 12/06/2024 10:00PM ET,UTA,26.29
PF,Jeremy Sochan (36912686),Jeremy Sochan,36912686,PF/F/UTIL,6100,SAC@SAS 12/06/2024 08:00PM ET,SAS,33.33
SF/PF,Keegan Murray (36912689),Keegan Murray,36912689,SF/PF/F/UTIL,6100,SAC@SAS 12/06/2024 08:00PM ET,SAC,28.23
SF,Deni Avdija (36912693),Deni Avdija,36912693,SF/F/UTIL,6000,UTA@POR 12/06/2024 10:00PM ET,POR,27.78
PF/C,Guerschon Yabusele (36912696),Guerschon Yabusele,36912696,PF/C/F/UTIL,6000,ORL@PHI 12/06/2024 07:00PM ET,PHI,22.78
PG,Keyonte George (36912700),Keyonte George,36912700,PG/G/UTIL,5900,UTA@POR 12/06/2024 10:00PM ET,UTA,28.86
PG/SG,Shaedon Sharpe (36912703),Shaedon Sharpe,36912703,PG/SG/G/UTIL,5900,UTA@POR 12/06/2024 10:00PM ET,POR,27.27
PG/SG,Payton Pritchard (36912707),Payton Pritchard,36912707,PG/SG/G/UTIL,5800,MIL@BOS 12/06/2024 07:30PM ET,BOS,28.75
PG/SG,Ayo Dosunmu (36912711),Ayo Dosunmu,36912711,PG/SG/G/UTIL,5700,IND@CHI 12/06/2024 08:00PM ET,CHI,26.64
PF,Jerami Grant (36912715),Jerami Grant,36912715,PF/F/UTIL,5700,UTA@POR 12/06/2024 10:00PM ET,POR,28.28
PF/C,Bobby Portis (36912718),Bobby Portis,36912718,PF/C/F/UTIL,5600,MIL@BOS 12/06/2024 07:30PM ET,MIL,25.8
PG,D'Angelo Russell (36912725),D'Angelo Russell,36912725,PG/G/UTIL,5400,LAL@ATL 12/06/2024 07:30PM ET,LAL,25.04
C,Clint Capela (36912731),Clint Capela,36912731,C/UTIL,5400,LAL@ATL 12/06/2024 07:30PM ET,ATL,27.62
SG,Kelly Oubre Jr. (36912728),Kelly Oubre Jr.,36912728,SG/G/UTIL,5400,ORL@PHI 12/06/2024 07:00PM ET,PHI,24.49
PG/SG,Brandin Podziemski (36912740),Brandin Podziemski,36912740,PG/SG/G/UTIL,5300,MIN@GSW 12/06/2024 10:00PM ET,GSW,21.36
C,Andre Drummond (36912736),Andre Drummond,36912736,C/UTIL,5300,ORL@PHI 12/06/2024 07:00PM ET,PHI,22.13
C,Goga Bitadze (36912738),Goga Bitadze,36912738,C/UTIL,5300,ORL@PHI 12/06/2024 07:00PM ET,ORL,24.22
PF,Jonathan Kuminga (36912753),Jonathan Kuminga,36912753,PF/F/UTIL,5200,MIN@GSW 12/06/2024 10:00PM ET,GSW,25.82
SG/SF,Kevin Huerter (36912748),Kevin Huerter,36912748,SG/SF/F/G/UTIL,5200,SAC@SAS 12/06/2024 08:00PM ET,SAC,19.66
PG,Jrue Holiday (36912762),Jrue Holiday,36912762,PG/G/UTIL,5100,MIL@BOS 12/06/2024 07:30PM ET,BOS,25.10
PF/C,Wendell Carter Jr. (36912758),Wendell Carter Jr.,36912758,PF/C/F/UTIL,5100,ORL@PHI 12/06/2024 07:00PM ET,ORL,23.73
SF/PF,De'Andre Hunter (36912765),De'Andre Hunter,36912765,SF/PF/F/UTIL,5000,LAL@ATL 12/06/2024 07:30PM ET,ATL,28.33
PG,Mike Conley (36912771),Mike Conley,36912771,PG/G/UTIL,5000,MIN@GSW 12/06/2024 10:00PM ET,MIN,22.85
C,Zach Collins (36912774),Zach Collins,36912774,C/UTIL,5000,SAC@SAS 12/06/2024 08:00PM ET,SAS,15.12
SF/PF,Rui Hachimura (36912782),Rui Hachimura,36912782,SF/PF/F/UTIL,4900,LAL@ATL 12/06/2024 07:30PM ET,LAL,24.21
PF/C,Al Horford (36912786),Al Horford,36912786,PF/C/F/UTIL,4900,MIL@BOS 12/06/2024 07:30PM ET,BOS,23.71
PF/C,Naz Reid (36912790),Naz Reid,36912790,PF/C/F/UTIL,4900,MIN@GSW 12/06/2024 10:00PM ET,MIN,24.74
SF,Julian Champagnie (36912779),Julian Champagnie,36912779,SF/F/UTIL,4900,SAC@SAS 12/06/2024 08:00PM ET,SAS,24.32
PG,Scoot Henderson (36912776),Scoot Henderson,36912776,PG/G/UTIL,4900,UTA@POR 12/06/2024 10:00PM ET,POR,24.53
